reviews,lemmas,lemmas,aspectCategory
For the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated.,"['next', 'area', 'listen', 'explan', 'touristi', 'type', 'hour', 'stand', 'seat', 'half', 'crowd', 'lobbi', 'restaur']","['next', 'area', 'listen', 'explan', 'touristi', 'type', 'hour', 'stand', 'seat', 'half', 'crowd', 'lobbi', 'restaur']",service
The pizza is delicious and the proprietor is one of the nicest in NYC.,"['proprietor', 'nyc', 'pizza', 'nicest', 'one', 'delici']","['proprietor', 'nyc', 'pizza', 'nicest', 'one', 'delici']",food
"Also good for client lunch meetings, esp.","['esp', 'also', 'lunch', 'meet', 'client', 'good']","['esp', 'also', 'lunch', 'meet', 'client', 'good']",anecdotes/miscellaneous
For $600 ( the most we have ever paid) not even waving a magic wand will ever get us back for a repeat performance.,"['wand', 'perform', 'back', 'get', 'wave', 'pay', 'magic', 'repeat', 'us', 'ever', 'even']","['wand', 'perform', 'back', 'get', 'wave', 'pay', 'magic', 'repeat', 'us', 'ever', 'even']",price
"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.","['decor', 'cool', 'consid', 'low', 'present', 'dark', 'food', 'price', 'spectacular', 'sooth']","['decor', 'cool', 'consid', 'low', 'present', 'dark', 'food', 'price', 'spectacular', 'sooth']",ambience
The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.,"['enjoy', 'swordfish', 'husband', 'waitstaff', 'meal', 'nice', 'suggest']","['enjoy', 'swordfish', 'husband', 'waitstaff', 'meal', 'nice', 'suggest']",food
The setting is casual and romantic.,"['set', 'casual', 'romant']","['set', 'casual', 'romant']",ambience
IT WAS HORRIBLE.,['horribl'],['horribl'],anecdotes/miscellaneous
"Terrible, terrible management - deserves to be shut-down.","['terribl', 'manag', 'deserv', 'shut']","['terribl', 'manag', 'deserv', 'shut']",service
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.","['sushi', 'servic', 'fast', 'seat', 'excel', 'deliveri', 'friendli', 'great']","['sushi', 'servic', 'fast', 'seat', 'excel', 'deliveri', 'friendli', 'great']",food
The desserts are more appealing then stuffy overpriced French restaurants.,"['french', 'dessert', 'overpric', 'stuffi', 'appeal', 'restaur']","['french', 'dessert', 'overpric', 'stuffi', 'appeal', 'restaur']",food
"The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...","['flavor', 'italian', 'nightmar', 'look', 'matter', 'food', 'yanke', 'surpris', 'late', 'remind', 'bad', 'corner', 'turn', 'ralli', 'sort', 'around', 'ny', 'attent', 'servic', 'ue', 'know']","['flavor', 'italian', 'nightmar', 'look', 'matter', 'food', 'yanke', 'surpris', 'late', 'remind', 'bad', 'corner', 'turn', 'ralli', 'sort', 'around', 'ny', 'attent', 'servic', 'ue', 'know']",food
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.","['review', 'particularli', 'time', 'mani', 'often', 'notic', 'true', 'problem', 'arriv', 'lunch', 'order', 'slow', 'even']","['review', 'particularli', 'time', 'mani', 'often', 'notic', 'true', 'problem', 'arriv', 'lunch', 'order', 'slow', 'even']",service
"I found the food to be outstanding, particulary the salmon dish I had.","['dish', 'food', 'particulari', 'outstand', 'salmon', 'find']","['dish', 'food', 'particulari', 'outstand', 'salmon', 'find']",food
Mizu is home to creative and unique rolls not to found anywhere else.,"['roll', 'creativ', 'home', 'anywher', 'uniqu', 'els', 'mizu', 'find']","['roll', 'creativ', 'home', 'anywher', 'uniqu', 'els', 'mizu', 'find']",food
"The New York Times has reviewed this place three times already, you know it's going to be good.","['three', 'review', 'york', 'place', 'time', 'new', 'go', 'alreadi', 'good', 'know']","['three', 'review', 'york', 'place', 'time', 'new', 'go', 'alreadi', 'good', 'know']",anecdotes/miscellaneous
Baluchi's has solid food and a nice decor at reasonable prices.,"['decor', 'reason', 'food', 'price', 'baluchi', 'nice', 'solid']","['decor', 'reason', 'food', 'price', 'baluchi', 'nice', 'solid']",food
"Emilio, the owner, is often sitting in the front table greeting guests as they come and go.","['front', 'come', 'owner', 'emilio', 'guest', 'tabl', 'often', 'go', 'sit', 'greet']","['front', 'come', 'owner', 'emilio', 'guest', 'tabl', 'often', 'go', 'sit', 'greet']",service
I have been to spice three times- twice during lunch and once at dinner.,"['three', 'time', 'spice', 'dinner', 'lunch', 'twice']","['three', 'time', 'spice', 'dinner', 'lunch', 'twice']",anecdotes/miscellaneous
"Moules were excellent, lobster ravioli was VERY salty!","['moul', 'lobster', 'salti', 'excel', 'ravioli']","['moul', 'lobster', 'salti', 'excel', 'ravioli']",food
I came to this restaurant expecting to be surprised but left bored and overcharged.,"['bore', 'come', 'overcharg', 'leav', 'surpris', 'expect', 'restaur']","['bore', 'come', 'overcharg', 'leav', 'surpris', 'expect', 'restaur']",anecdotes/miscellaneous
"A cheap eat for NYC, but not for dosa.","['dosa', 'nyc', 'eat', 'cheap']","['dosa', 'nyc', 'eat', 'cheap']",price
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,"['thing', 'around', 'noisi', 'fast', 'waiter', 'walk', 'liter', 'atmospher']","['thing', 'around', 'noisi', 'fast', 'waiter', 'walk', 'liter', 'atmospher']",service
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","['chang', 'seafood', 'wine', 'list', 'offer', 'ever', 'great', 'surpris', 'alway', 'amaz', 'menu', 'good']","['chang', 'seafood', 'wine', 'list', 'offer', 'ever', 'great', 'surpris', 'alway', 'amaz', 'menu', 'good']",food
i don't usually order wine with indian so i can't comment on their wine list or their wines.,"['indian', 'win', 'comment', 'wine', 'list', 'usual', 'order']","['indian', 'win', 'comment', 'wine', 'list', 'usual', 'order']",food
Pastrami or corned beef are juicy and piled high (ask for extra rye bread).,"['extra', 'beef', 'rye', 'juici', 'pastrami', 'high', 'pile', 'corn', 'bread', 'ask']","['extra', 'beef', 'rye', 'juici', 'pastrami', 'high', 'pile', 'corn', 'bread', 'ask']",food
"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).","['expens', 'wine', 'dinner', 'champagn', 'bottl', 'glass', 'drink']","['expens', 'wine', 'dinner', 'champagn', 'bottl', 'glass', 'drink']",price
"Really though, where's the seasoning?","['though', 'season', 'realli']","['though', 'season', 'realli']",food
"The food was just OK, at least for what food was available.","['least', 'avail', 'food', 'ok']","['least', 'avail', 'food', 'ok']",food
"by dinner time, they turn it around and mount a huge comeback!!","['around', 'comeback', 'time', 'turn', 'mount', 'dinner', 'huge']","['around', 'comeback', 'time', 'turn', 'mount', 'dinner', 'huge']",anecdotes/miscellaneous
The waitress was very patient with us and the food is phenomenal!,"['phenomen', 'food', 'patient', 'waitress', 'us']","['phenomen', 'food', 'patient', 'waitress', 'us']",food
"The ambience was nice, but service wasn't so great.","['nice', 'servic', 'great', 'ambienc']","['nice', 'servic', 'great', 'ambienc']",service
"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.","['chang', 'come', 'back', 'staff', 'menu', 'owner', 'adventur', 'us', 'wine', 'list', 'keep', 'friendli', 'solid', 'ever', 'knowledg']","['chang', 'come', 'back', 'staff', 'menu', 'owner', 'adventur', 'us', 'wine', 'list', 'keep', 'friendli', 'solid', 'ever', 'knowledg']",food
The people that work there are always so friendly you forget you are in New York sometimes.,"['forget', 'york', 'peopl', 'new', 'work', 'sometim', 'alway', 'friendli']","['forget', 'york', 'peopl', 'new', 'work', 'sometim', 'alway', 'friendli']",service
"We didn't even see a menu, as our waiter described both the specials and the main dishes.","['main', 'describ', 'dish', 'special', 'see', 'waiter', 'menu', 'even']","['main', 'describ', 'dish', 'special', 'see', 'waiter', 'menu', 'even']",service
The location and ambience is Ok but the food is what makes up for it.,"['make', 'food', 'locat', 'ok', 'ambienc']","['make', 'food', 'locat', 'ok', 'ambienc']",food
"otherwise, good stuff for late nite eats.","['eat', 'good', 'nite', 'late', 'otherwis', 'stuff']","['eat', 'good', 'nite', 'late', 'otherwis', 'stuff']",food
"The dinner was ok, nothing I would have again.","['would', 'noth', 'dinner', 'ok']","['would', 'noth', 'dinner', 'ok']",food
It is thick and slightly soggy.,"['slightli', 'soggi', 'thick']","['slightli', 'soggi', 'thick']",food
Its not the same if you have to sit inside.,"['insid', 'sit']","['insid', 'sit']",ambience
I love and I know gourmet food by excellence!,"['gourmet', 'food', 'love', 'excel', 'know']","['gourmet', 'food', 'love', 'excel', 'know']",food
"I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....","['assort', 'come', 'bruschetta', 'tri', 'plan', 'forward', 'look', 'panini']","['assort', 'come', 'bruschetta', 'tri', 'plan', 'forward', 'look', 'panini']",food
Great people watching as others do the same to you.,"['watch', 'other', 'great', 'peopl']","['watch', 'other', 'great', 'peopl']",ambience
Maybe it was just an unintentional mistake but I've experienced the same with other restaurants so I don't appreciate such practice.,"['mistak', 'mayb', 'experi', 'appreci', 'practic', 'unintent', 'restaur']","['mistak', 'mayb', 'experi', 'appreci', 'practic', 'unintent', 'restaur']",anecdotes/miscellaneous
"Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu.","['regular', 'peopl', 'dish', 'felt', 'immedi', 'two', 'volar', 'oblig', 'like', 'someth', 'els', 'parti', 'menu', 'great']","['regular', 'peopl', 'dish', 'felt', 'immedi', 'two', 'volar', 'oblig', 'like', 'someth', 'els', 'parti', 'menu', 'great']",service
He offers subpar service and has no personality.,"['person', 'offer', 'subpar', 'servic']","['person', 'offer', 'subpar', 'servic']",service
"The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.","['beancurd', 'assort', 'regular', 'mini', 'milk', 'bun', 'fruit', 'rememb', 'condens', 'waitress', 'friendli', 'fri', 'know']","['beancurd', 'assort', 'regular', 'mini', 'milk', 'bun', 'fruit', 'rememb', 'condens', 'waitress', 'friendli', 'fri', 'know']",service
I'm going back.,"['go', 'back']","['go', 'back']",anecdotes/miscellaneous
Diner food at bistro prices is a bummer....,"['bummer', 'food', 'price', 'bistro', 'diner']","['bummer', 'food', 'price', 'bistro', 'diner']",price
My friends and I have been going here regularly for two years.,"['friend', 'two', 'go', 'regularli', 'year']","['friend', 'two', 'go', 'regularli', 'year']",anecdotes/miscellaneous
"wow! how have i missed this one ,tried Long Tan last week for the first time and now know what the NY TIMES and many more in the neighborhood already knew.","['ny', 'miss', 'tan', 'neighborhood', 'wow', 'first', 'time', 'tri', 'mani', 'long', 'last', 'week', 'alreadi', 'one', 'know']","['ny', 'miss', 'tan', 'neighborhood', 'wow', 'first', 'time', 'tri', 'mani', 'long', 'last', 'week', 'alreadi', 'one', 'know']",anecdotes/miscellaneous
"Go there on an empty stomach and leave feeling like a baby Veal Calf(ok bad joke), but you will see.","['calf', 'ok', 'bad', 'feel', 'veal', 'babi', 'go', 'stomach', 'leav', 'empti', 'like', 'see', 'joke']","['calf', 'ok', 'bad', 'feel', 'veal', 'babi', 'go', 'stomach', 'leav', 'empti', 'like', 'see', 'joke']",anecdotes/miscellaneous
"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.","['enjoy', 'food', 'across', 'tabl', 'convers', 'thoroughli', 'annoy', 'scream']","['enjoy', 'food', 'across', 'tabl', 'convers', 'thoroughli', 'annoy', 'scream']",ambience
Me and my girls will definitely go back.,"['back', 'girl', 'go', 'definit']","['back', 'girl', 'go', 'definit']",anecdotes/miscellaneous
"The first time the sushi was outstanding, the second time it was a little bland.","['bland', 'time', 'first', 'sushi', 'littl', 'second', 'outstand']","['bland', 'time', 'first', 'sushi', 'littl', 'second', 'outstand']",food
The portions are large and the servers always surprise us with a different starter.,"['starter', 'larg', 'portion', 'server', 'surpris', 'alway', 'us', 'differ']","['starter', 'larg', 'portion', 'server', 'surpris', 'alway', 'us', 'differ']",food
"delicious bagels, especially when right out of the oven.","['right', 'delici', 'especi', 'oven', 'bagel']","['right', 'delici', 'especi', 'oven', 'bagel']",food
Ive passed by the spot tons of times always wanting to go in.,"['ton', 'ive', 'want', 'time', 'pass', 'go', 'spot', 'alway']","['ton', 'ive', 'want', 'time', 'pass', 'go', 'spot', 'alway']",anecdotes/miscellaneous
All the food was hot tasty.,"['tasti', 'hot', 'food']","['tasti', 'hot', 'food']",food
Have been several times and it never dissapoints.,"['time', 'dissapoint', 'sever', 'never']","['time', 'dissapoint', 'sever', 'never']",anecdotes/miscellaneous
This is one great place to eat pizza more out but not a good place for take-out pizza.,"['eat', 'place', 'pizza', 'good', 'take', 'great', 'one']","['eat', 'place', 'pizza', 'good', 'take', 'great', 'one']",food
Our server was very helpful and friendly.,"['server', 'help', 'friendli']","['server', 'help', 'friendli']",service
Try green curry with vegetables.,"['veget', 'green', 'tri', 'curri']","['veget', 'green', 'tri', 'curri']",food
Would recommend this place as a good date spot if you don't want to drop a ton of cash.,"['ton', 'would', 'want', 'place', 'recommend', 'date', 'cash', 'spot', 'drop', 'good']","['ton', 'would', 'want', 'place', 'recommend', 'date', 'cash', 'spot', 'drop', 'good']",anecdotes/miscellaneous
While I'm not sure that this happens all the time-this is the kind of treatment that buys repeat business!,"['busi', 'time', 'happen', 'sure', 'repeat', 'buy', 'kind', 'treatment']","['busi', 'time', 'happen', 'sure', 'repeat', 'buy', 'kind', 'treatment']",service
This place was not ALL THAT!,['place'],['place'],anecdotes/miscellaneous
"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.","['review', 'place', 'citysearch', 'first', 'editori', 'romant', 'claim']","['review', 'place', 'citysearch', 'first', 'editori', 'romant', 'claim']",ambience
"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.","['vault', 'peopl', 'get', 'din', 'lifetim', 'like', 'go', 'second', 'door', 'walk', 'anticip', 'ride', 'heavi', 'arriv', 'sens']","['vault', 'peopl', 'get', 'din', 'lifetim', 'like', 'go', 'second', 'door', 'walk', 'anticip', 'ride', 'heavi', 'arriv', 'sens']",ambience
Much more reasonably priced too!,"['much', 'reason', 'price']","['much', 'reason', 'price']",price
"If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.","['corona', 'seem', 'manhattan', 'italian', 'island', 'great', 'ventur', 'drive', 'find', 'restaur']","['corona', 'seem', 'manhattan', 'italian', 'island', 'great', 'ventur', 'drive', 'find', 'restaur']",anecdotes/miscellaneous
"The food was not very tasty, the portioins were tiny even for such a high quality restaurant.","['qualiti', 'tasti', 'tini', 'food', 'portioin', 'restaur', 'high', 'even']","['qualiti', 'tasti', 'tini', 'food', 'portioin', 'restaur', 'high', 'even']",food
My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian.,"['speak', 'friend', 'everyon', 'italian', 'arriv', 'milan', 'surpris', 'pleasantli']","['speak', 'friend', 'everyon', 'italian', 'arriv', 'milan', 'surpris', 'pleasantli']",anecdotes/miscellaneous
Others have to go to other restaurants and feel sad until they're eaten.,"['feel', 'other', 'eat', 'go', 'sad', 'restaur']","['feel', 'other', 'eat', 'go', 'sad', 'restaur']",anecdotes/miscellaneous
Why make a reservation if you aren't going to keep it?,"['keep', 'reserv', 'go', 'make']","['keep', 'reserv', 'go', 'make']",service
"The Pad Thai is excellent here, as well.","['thai', 'pad', 'excel', 'well']","['thai', 'pad', 'excel', 'well']",food
Big and gawky on the outside.,"['big', 'outsid', 'gawki']","['big', 'outsid', 'gawki']",ambience
I have been to Mary's many times and I like it.,"['like', 'time', 'mari', 'mani']","['like', 'time', 'mari', 'mani']",anecdotes/miscellaneous
"Searching to get out from the cold, freezing weather, we went into what we thought was a deli.","['think', 'get', 'freez', 'deli', 'search', 'go', 'weather', 'cold']","['think', 'get', 'freez', 'deli', 'search', 'go', 'weather', 'cold']",anecdotes/miscellaneous
I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,"['regular', 'recommend', 'tast', 'chines', 'special', 'lunch', 'restaur']","['regular', 'recommend', 'tast', 'chines', 'special', 'lunch', 'restaur']",food
HIGHLY RECOMMENDED!!!!!,"['recommend', 'highli']","['recommend', 'highli']",anecdotes/miscellaneous
This is the best thing in Soho.,"['best', 'thing', 'soho']","['best', 'thing', 'soho']",anecdotes/miscellaneous
Went here last night and had a pleasant experience.,"['night', 'pleasant', 'experi', 'go', 'last']","['night', 'pleasant', 'experi', 'go', 'last']",anecdotes/miscellaneous
"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.","['enjoy', 'park', 'place', 'block', 'peopl', 'obvious', 'pizza', 'look', 'nina', 'nice']","['enjoy', 'park', 'place', 'block', 'peopl', 'obvious', 'pizza', 'look', 'nina', 'nice']",anecdotes/miscellaneous
I came here with my boyfriend for our anniversary because it was highly recommended to him by a friend.,"['come', 'anniversari', 'recommend', 'friend', 'boyfriend', 'highli']","['come', 'anniversari', 'recommend', 'friend', 'boyfriend', 'highli']",anecdotes/miscellaneous
"For $760 for 2 people, it's a once in a lifetime experience.","['lifetim', 'experi', 'peopl']","['lifetim', 'experi', 'peopl']",price
"The food is o.k., but not any better than what you get at a good neighborhood restaurant.","['good', 'neighborhood', 'get', 'food', 'better', 'k', 'restaur']","['good', 'neighborhood', 'get', 'food', 'better', 'k', 'restaur']",food
We had the pot-stickers which were great and a tempura dish that was great.,"['pot', 'dish', 'sticker', 'great', 'tempura']","['pot', 'dish', 'sticker', 'great', 'tempura']",food
I think the stuff was better than Disney.,"['disney', 'think', 'better', 'stuff']","['disney', 'think', 'better', 'stuff']",service
"After reading the good reviews of this restaurant, I decided to give it a try with two friends.","['review', 'read', 'friend', 'two', 'decid', 'tri', 'give', 'good', 'restaur']","['review', 'read', 'friend', 'two', 'decid', 'tri', 'give', 'good', 'restaur']",anecdotes/miscellaneous
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.","['entre', 'expens', 'citi', 'york', 'new', 'despit', 'food', 'return', 'sapphir', 'better', 'rang', 'love', 'like', 'atmospher', 'overli', 'definit', 'restaur']","['entre', 'expens', 'citi', 'york', 'new', 'despit', 'food', 'return', 'sapphir', 'better', 'rang', 'love', 'like', 'atmospher', 'overli', 'definit', 'restaur']",anecdotes/miscellaneous
"Orsay, is without a doubt one of the best values for authentic French food in NYC.","['french', 'valu', 'nyc', 'best', 'food', 'doubt', 'without', 'orsay', 'one', 'authent']","['french', 'valu', 'nyc', 'best', 'food', 'doubt', 'without', 'orsay', 'one', 'authent']",food
I had been searching really hard for a restaurant in New York where I could really feel unwanted and ignored and I finally found it!,"['hard', 'realli', 'could', 'york', 'feel', 'new', 'search', 'ignor', 'unwant', 'final', 'find', 'restaur']","['hard', 'realli', 'could', 'york', 'feel', 'new', 'search', 'ignor', 'unwant', 'final', 'find', 'restaur']",service
It's definately not a place to go if you want to impress someone.,"['want', 'someon', 'place', 'impress', 'defin', 'go']","['want', 'someon', 'place', 'impress', 'defin', 'go']",anecdotes/miscellaneous
"Well, their deliveries take for ever and the food is usually cold.","['take', 'food', 'well', 'usual', 'deliveri', 'cold', 'ever']","['take', 'food', 'well', 'usual', 'deliveri', 'cold', 'ever']",food
The staff is no nonsense.,"['nonsens', 'staff']","['nonsens', 'staff']",service
Chinese Desserts are known for healthful benefits in addition to the sweetness.,"['health', 'dessert', 'chines', 'benefit', 'sweet', 'addit', 'know']","['health', 'dessert', 'chines', 'benefit', 'sweet', 'addit', 'know']",food
Wonderful at holiday time.,"['time', 'wonder', 'holiday']","['time', 'wonder', 'holiday']",anecdotes/miscellaneous
And really large portions.,"['portion', 'larg', 'realli']","['portion', 'larg', 'realli']",food
The place is a lot of fun.,"['lot', 'fun', 'place']","['lot', 'fun', 'place']",anecdotes/miscellaneous
This is a great Thai restaurant with a very friendly staff.,"['staff', 'thai', 'friendli', 'great', 'restaur']","['staff', 'thai', 'friendli', 'great', 'restaur']",anecdotes/miscellaneous
"Have eaten at Ginger House several times, and it's always good.","['sever', 'eat', 'time', 'ginger', 'hous', 'alway', 'good']","['sever', 'eat', 'time', 'ginger', 'hous', 'alway', 'good']",anecdotes/miscellaneous
I ordered the smoked salmon and roe appetizer and it was off flavor.,"['flavor', 'smoke', 'appet', 'roe', 'salmon', 'order']","['flavor', 'smoke', 'appet', 'roe', 'salmon', 'order']",food
"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.","['impress', 'food', 'coupl', 'go', 'lunch', 'saturday', 'thoroughli', 'ago', 'week']","['impress', 'food', 'coupl', 'go', 'lunch', 'saturday', 'thoroughli', 'ago', 'week']",food
"I recommend the garlic shrimp, okra (bindi), and anything with lamb.","['garlic', 'recommend', 'bindi', 'lamb', 'shrimp', 'anyth', 'okra']","['garlic', 'recommend', 'bindi', 'lamb', 'shrimp', 'anyth', 'okra']",food
"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.","['live', 'area', 'place', 'japanes', 'nativ', 'tristat', 'amaz', 'year']","['live', 'area', 'place', 'japanes', 'nativ', 'tristat', 'amaz', 'year']",anecdotes/miscellaneous
"To give you an idea of how good we thought it was, we ended up going to Ping's three weekends in a row!!!","['think', 'three', 'end', 'give', 'go', 'row', 'ping', 'idea', 'weekend', 'good']","['think', 'three', 'end', 'give', 'go', 'row', 'ping', 'idea', 'weekend', 'good']",anecdotes/miscellaneous
"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.","['anoth', 'coupl', 'stand', 'waiter', 'leav', 'door', 'hurri', 'say']","['anoth', 'coupl', 'stand', 'waiter', 'leav', 'door', 'hurri', 'say']",anecdotes/miscellaneous
"The menu was impressive with selections ranging from a burger, to steak, to escargot.","['impress', 'burger', 'select', 'rang', 'steak', 'escargot', 'menu']","['impress', 'burger', 'select', 'rang', 'steak', 'escargot', 'menu']",food
"In fact, two people could really share one plate.","['could', 'peopl', 'two', 'share', 'fact', 'plate', 'one', 'realli']","['could', 'peopl', 'two', 'share', 'fact', 'plate', 'one', 'realli']",food
The food is great and authentic.,"['food', 'great', 'authent']","['food', 'great', 'authent']",food
This was a repeat visit and we'll definitely be back again.,"['visit', 'repeat', 'definit', 'back']","['visit', 'repeat', 'definit', 'back']",anecdotes/miscellaneous
during happy hour!,"['hour', 'happi']","['hour', 'happi']",anecdotes/miscellaneous
Good for casual dinner with jeans and sneakers.,"['sneaker', 'dinner', 'casual', 'good', 'jean']","['sneaker', 'dinner', 'casual', 'good', 'jean']",anecdotes/miscellaneous
Love YUKA.,"['love', 'yuka']","['love', 'yuka']",anecdotes/miscellaneous
"Anyway, the food is good, the price is right and they have a decent wine list.","['decent', 'anyway', 'food', 'price', 'wine', 'right', 'list', 'good']","['decent', 'anyway', 'food', 'price', 'wine', 'right', 'list', 'good']",food
"Go, go, hurry, before everyone finds out about it.","['everyon', 'hurri', 'go', 'find']","['everyon', 'hurri', 'go', 'find']",anecdotes/miscellaneous
Prices are higher to dine in and their chicken tikka marsala is quite good.,"['marsala', 'chicken', 'dine', 'higher', 'tikka', 'price', 'quit', 'good']","['marsala', 'chicken', 'dine', 'higher', 'tikka', 'price', 'quit', 'good']",food
I am bringing my whole family back next time.,"['next', 'back', 'time', 'bring', 'whole', 'famili']","['next', 'back', 'time', 'bring', 'whole', 'famili']",anecdotes/miscellaneous
This place has many different styles of pizza and they are all amazing.,"['place', 'pizza', 'mani', 'style', 'amaz', 'differ']","['place', 'pizza', 'mani', 'style', 'amaz', 'differ']",food
The photos of the restaurant in its web site are way better than the real look.,"['photo', 'way', 'web', 'better', 'look', 'site', 'real', 'restaur']","['photo', 'way', 'web', 'better', 'look', 'site', 'real', 'restaur']",ambience
The food was lousy - too sweet or too salty and the portions tiny.,"['lousi', 'salti', 'tini', 'food', 'portion', 'sweet']","['lousi', 'salti', 'tini', 'food', 'portion', 'sweet']",food
But the coconut rice was good.,"['rice', 'coconut', 'good']","['rice', 'coconut', 'good']",food
It took them 25 minutes to bring our appetizer.,"['appet', 'minut', 'bring', 'take']","['appet', 'minut', 'bring', 'take']",service
A guaranteeed delight!,"['delight', 'guarante']","['delight', 'guarante']",anecdotes/miscellaneous
I have been coming to this neighborhood spot for years.,"['neighborhood', 'come', 'year', 'spot']","['neighborhood', 'come', 'year', 'spot']",anecdotes/miscellaneous
Overall I would recommend it and go back again.,"['would', 'back', 'recommend', 'go', 'overal']","['would', 'back', 'recommend', 'go', 'overal']",anecdotes/miscellaneous
The food was great.,"['food', 'great']","['food', 'great']",food
Pair you food with the excellent beers on tap or their well priced wine list.,"['tap', 'food', 'price', 'well', 'wine', 'list', 'beer', 'excel', 'pair']","['tap', 'food', 'price', 'well', 'wine', 'list', 'beer', 'excel', 'pair']",food
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,"['isnt', 'want', 'blast', 'dollar', 'minimun', 'pay', 'system', 'music', 'like', 'least', 'love', 'bottl', 'great']","['isnt', 'want', 'blast', 'dollar', 'minimun', 'pay', 'system', 'music', 'like', 'least', 'love', 'bottl', 'great']",ambience
All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,"['place', 'wonder', 'food', 'hear', 'state', 'worker', 'amaz', 'co']","['place', 'wonder', 'food', 'hear', 'state', 'worker', 'amaz', 'co']",food
"Anyway, this is the last time I cross the williamsburg.","['williamsburg', 'cross', 'anyway', 'time', 'last']","['williamsburg', 'cross', 'anyway', 'time', 'last']",anecdotes/miscellaneous
Metrazur has a beautiful spot overlooking the main terminal.,"['main', 'termin', 'beauti', 'overlook', 'metrazur', 'spot']","['main', 'termin', 'beauti', 'overlook', 'metrazur', 'spot']",ambience
Friendly staff that actually lets you enjoy your meal and the company you're with.,"['enjoy', 'staff', 'let', 'actual', 'meal', 'compani', 'friendli']","['enjoy', 'staff', 'let', 'actual', 'meal', 'compani', 'friendli']",service
"When I'm feeling stressed by the noise and congestion around my office, I head for Cafe St. Bart's.","['around', 'stress', 'feel', 'head', 'offic', 'cafe', 'bart', 'congest', 'nois', 'st']","['around', 'stress', 'feel', 'head', 'offic', 'cafe', 'bart', 'congest', 'nois', 'st']",anecdotes/miscellaneous
Guess the 555Soul ads didn't launch her big modeling career.,"['career', 'big', 'guess', 'soul', 'model', 'ad', 'launch']","['career', 'big', 'guess', 'soul', 'model', 'ad', 'launch']",anecdotes/miscellaneous
The restaurant is rather small but we were lucky to get a table quickly.,"['get', 'tabl', 'rather', 'lucki', 'small', 'quickli', 'restaur']","['get', 'tabl', 'rather', 'lucki', 'small', 'quickli', 'restaur']",service
"Besides, we were on vacation!","['besid', 'vacat']","['besid', 'vacat']",anecdotes/miscellaneous
I love this cozy around the way Rest.,"['around', 'way', 'rest', 'love', 'cozi']","['around', 'way', 'rest', 'love', 'cozi']",ambience
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.","['fish', 'qualiti', 'chicken', 'lamb', 'food', 'price', 'cheap', 'stick', 'veget', 'excel', 'pork']","['fish', 'qualiti', 'chicken', 'lamb', 'food', 'price', 'cheap', 'stick', 'veget', 'excel', 'pork']",food
Don't leave without trying One Night in Tokyo.,"['night', 'tri', 'without', 'leav', 'tokyo', 'one']","['night', 'tri', 'without', 'leav', 'tokyo', 'one']",anecdotes/miscellaneous
Save yourself the time and trouble and skip this one!,"['skip', 'time', 'save', 'troubl', 'one']","['skip', 'time', 'save', 'troubl', 'one']",anecdotes/miscellaneous
This is my favorite Italian restaurant in all of New York City.,"['citi', 'york', 'new', 'favorit', 'italian', 'restaur']","['citi', 'york', 'new', 'favorit', 'italian', 'restaur']",anecdotes/miscellaneous
