reviews,lemmas,ufeat,aspectCategory
"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.","['pizza', 'sauc', 'import', 'better', 'ny', 'fresh', 'tomato', 'mozz', 'make', 'dough', 'combin', 'chees', 'basil', 'one', 'flour']","['', 'better pizza', 'fresh tomato', 'fresh sauce', 'imported flour', 'combination makes', 'they make', 'this is']",food
The food is prepared quickly and efficiently.,"['effici', 'food', 'quickli', 'prepar']",['food prepared'],food
and for this i had to shell out a small fortune?,"['small', 'fortun', 'shell']","['fortune shell', 'small fortune', 'i had']",price
"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven.","['heaven', 'indian', 'new', 'food', 'tri', 'piec', 'roll', 'paneer']","['it is', 'new all', 'roll try', 'food indian', 'indian food']",food
The food looked very appetizing and delicious since it came on a variety of fancy plates.,"['appet', 'delici', 'fanci', 'plat', 'look', 'food', 'varieti', 'sinc', 'come']","['very appetizing', 'fancy plates', 'food looked', 'it came']",food
Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,"['mozzerella', 'phenomen', 'slice', 'fresh', 'plain', 'chees']","['plain cheese', 'plain slice', 'fresh slices', 'cheese slice', 'slices are', 'fresh mozzerella']",food
I have tried literally every restaurant on curry row.,"['row', 'everi', 'liter', 'curri', 'tri', 'restaur']","['', 'restaurant tried']",anecdotes/miscellaneous
"The food is terrible and overall, I would have to say avoid at all costs.","['say', 'overal', 'would', 'cost', 'avoid', 'food', 'terribl']","['food is', 'i have', 'say avoid']",food
"I've been to this monster sushi twice, the 46th st once, the 23rd st one a number of times.","['number', 'monster', 'st', 'rd', 'time', 'th', 'sushi', 'one', 'twice']","['i been', '23rd st', '46th st']",anecdotes/miscellaneous
"Unfortunately, the food was NOT something to get worked up about.","['get', 'food', 'unfortun', 'someth', 'work']","['food was', 'not was']",food
"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).","['line', 'expect', 'cater', 'open', 'turnov', 'st', 'e', 'crosbi', 'pakistani', 'fresh', 'food', 'surprisingli', 'constantli', 'cabbi']","['', ""it 's"", 'crosby st.', 'you expect', 'pakistani cabbies', 'constantly open', 'more turnover']",food
I had Filet Mignon with garlic mash.,"['mignon', 'mash', 'filet', 'garlic']","['filet mignon', 'garlic mash', 'mignon had', 'i had']",food
"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.","['steak', 'brule', 'pre', 'frite', 'roast', 'menu', 'marvel', 'theater', 'tomato', 'chevr', 'soup', 'go', 'creme', 'specif', 'pm']","['pre theater', 'i went', 'roasted tomato', 'pre-theater menu', 'roasted soup', 'it was']",food
"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.","['waitstaff', 'quarter', 'polit', 'close', 'feat', 'impress', 'attent', 'help']","['close quarters', 'waitstaff were', 'impressive feat', 'such close', 'such quarters']",service
Go inside and you won't want to leave.,"['want', 'go', 'leav', 'insid']","[""n't want"", 'you want']",anecdotes/miscellaneous
I loving bringing friends here - and I do so every chance I get.,"['bring', 'get', 'everi', 'love', 'friend', 'chanc']","['i get', 'bringing friends', 'chance do', 'i loving', 'i do', 'friends bringing']",anecdotes/miscellaneous
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.","['peter', 'actual', 'babi', 'super', 'like', 'salad', 'cold', 'howev', 'top', 'pizza', 'delici', 'warn', 'size', 'want', 'make', 'begin', 'prosciutto', 'favourit', 'arugula', 'person', 'tasti', 'bread', 'margarit', 'come']","['favourite pizza', 'super tasty', 'cold prosciutto', 'more want', 'personal sizes', 'margarite pizza', 'however be', 'bread is', 'pizza is', 'you want']",food
"Yes, the prices are high, but I felt it was worth it.","['felt', 'price', 'worth', 'high', 'ye']","['i felt', 'it was', 'prices are']",price
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.","['larg', 'stagnat', 'select', 'palat', 'bruschetta', 'tramezzini', 'panini', 'keep']","['selection keep', 'palate keep', 'tramezzinis keep', 'large selection']",food
"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.","['way', 'alway', 'lot', 'diner', 'fact', 'despit', 'often', 'busi', 'find', 'go', 'help', 'waiter']","['waiters go', 'they are', 'always found', 'often busy']",service
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.","['out', 'old', 'innov', 'classic', 'tasti', 'realli', 'give', 'life', 'chef', 'new', 'cuisin', 'indian', 'genuin', 'heavi', 'dish', 'burn', 'restaur', 'fare', 'without']","['innovative dishes', 'really innovative', 'classical fare', ""n't is"", 'same old', 'new life', 'old restaurant', 'life given', 'chef given', 'that are', ""n't classical"", 'heavy outs', 'old outs', 'classical restaurant', 'tasty dishes', 'this is', 'old cuisine', 'genuinely indian']",food
The owner truly caters to all your needs.,"['owner', 'cater', 'truli', 'need']",['owner caters'],service
He takes real pride in his food and his business.,"['pride', 'food', 'busi', 'real', 'take']","['real pride', 'pride takes', 'he takes']",service
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,"['time', 'everi', 'york', 'smith', 'new', 'make', 'saul', 'restaur', 'visit', 'street', 'point']","['it point', 'saul visit', 'new york', 'visit restaurant', 'smith street', 'i make']",anecdotes/miscellaneous
My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,"['birthday', 'say', 'night', 'go', 'celebr', 'magnific', 'boyfriend']","['i went', 'other night', 'boyfriend went', 'all is', 'i say', 'birthday celebrate', 'it was']",anecdotes/miscellaneous
"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.","['pre', 'nice', 'enjoy', 'prix', 'theater', 'meal', 'earli', 'want', 'go', 'fix', 'montparnass']","['nice meal', 'enjoyable meal', 'meal want', 'pre-theater prix-fixe', 'you want']",food
"Over the years, it has always provided a pleasurable dining experience with quality food and wine.","['qualiti', 'alway', 'year', 'pleasur', 'experi', 'provid', 'din', 'food', 'wine']","['pleasurable experience', 'experience provided', 'always provided', 'it provided', 'pleasurable dining']",food
I would go back tho.,"['go', 'tho', 'would', 'back']",['i go'],anecdotes/miscellaneous
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.","['pork', 'photobook', 'menu', 'fri', 'cute', 'dish', 'pick', 'group', 'chicken', 'noodl', 'chop', 'certainli', 'touch', 'help', 'order']","['i pick', 'chicken pick', 'group helped', 'we ordered', 'noodle dishes', 'cute touch', 'fried chicken', 'certainly helped', 'that ordered', 'menu was']",food
too large for just two people but nothing was left.,"['larg', 'leav', 'two', 'peopl', 'noth']","['nothing left', 'too large']",food
I cannot imagine better Indian food in all of the city.,"['cannot', 'better', 'imagin', 'indian', 'food', 'citi']","['better indian', 'i imagine', 'not imagine', 'food imagine', 'better food', 'indian food']",food
Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,"['get', 'littl', 'corner', 'tabl', 'great', 'privaci', 'close', 'place', 'tri', 'sit', 'romant', 'date', 'booth']","['table get', 'romantic place', 'little privacy', 'great place', 'great romantic', 'place try']",ambience
A pleasant surprise.,"['pleasant', 'surpris']",['pleasant surprise'],anecdotes/miscellaneous
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,"['open', 'face', 'tell', 'manag', 'basic', 'busi', 'elsewher', 'ask', 'chees', 'sandwich', 'take']","['cheese sandwich', 'open faced', 'business take', 'i asked', 'faced sandwich', 'basically told', 'me told']",service
If you don't mind all that noise then go to the Chart House.,"['chart', 'nois', 'hous', 'go', 'mind']","['noise go', 'you mind', ""n't mind"", 'then go']",ambience
We got most of it back at home with us.,"['home', 'us', 'back', 'get']","['we got', 'most got']",anecdotes/miscellaneous
Get there before 7pm.,"['pm', 'get']","['m', 'p', 't', 'y']",anecdotes/miscellaneous
very good breads as well.,"['good', 'bread', 'well']","['', 'as well', 'very good']",food
"if this happens, just ask for real naan.","['real', 'happen', 'ask', 'naan']","['', 'this happens', 'real naan']",anecdotes/miscellaneous
We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,"['half', 'ined', 'fan', 'option', 'squid', 'price', 'saturday', 'night', 'visit', 'recent']","['half price', 'we were', 'were fans', 'recent visit', 'inedible squid']",food
"So, if yo really don't care who is sittingnext to you, which is about 2 inches away, I would say try it.","['say', 'yo', 'realli', 'away', 'would', 'care', 'tri', 'sittingnext', 'inch']","[""n't care"", 'which is', 'really do', 'i say', 'yo care', 'who is', 'it try']",ambience
"Pizza is terrific, as is homemade pasta.","['homemad', 'pasta', 'terrif', 'pizza']","['pizza is', 'homemade pasta']",food
Definitely a neighborhood favorite.,"['favorit', 'neighborhood', 'definit']","['m', 'p', 't', 'y']",anecdotes/miscellaneous
This is a wonderful place on all stand points especially value ofr money.,"['valu', 'ofr', 'wonder', 'money', 'stand', 'place', 'especi', 'point']","['wonderful place', 'stand points', 'value ofr', 'this is', 'ofr money', 'money value']",price
My first encounter happened one friday evening with a friend.,"['encount', 'even', 'happen', 'friend', 'one', 'friday', 'first']","['encounter happened', 'first encounter']",anecdotes/miscellaneous
Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,"['dollar', 'exampl', 'soup', 'mushroom', 'oz']","['', 'example is']",price
"Service is not exactly five star, but thats not really a big deal.","['big', 'servic', 'realli', 'star', 'deal', 'that', 'exactli', 'five']","['that s', 'not exactly', 'not s', 'service is', 'big deal', 'not is', 'not really']",service
There are other people waiting!,"['peopl', 'wait']",['other people'],service
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.","['appet', 'mint', 'sorbet', 'tast', 'sensat', 'delight', 'rasberri', 'incred', 'scallop', 'begin', 'souffl', 'delici', 'chocol']","['scallops were', 'we delighted', 'delicious chocolate', 'rasberry mint', 'appetizers beginning', 'sorbet rasberry', 'beginning appetizers']",food
OU MUST TRY THIS RESTAURANT.,"['restaur', 'ou', 'must', 'tri']","['', 'restaurant try']",anecdotes/miscellaneous
"We left, never to return.","['never', 'return', 'leav']","['never return', 'we left']",anecdotes/miscellaneous
Consistently good Japanese Tapas.,"['good', 'japanes', 'tapa', 'consist']","['japanese tapas', 'consistently good', 'good tapas', 'good japanese']",food
No apologies during restaurant week.,"['week', 'restaur', 'apolog']",['restaurant week'],anecdotes/miscellaneous
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.","['good', 'fish', 'rice', 'amaz', 'absolut', 'seawe', 'everyth']","['goodness was', 'absolutely amazing']",food
"This place started off a little iffy, but is now one of my favorite indian restaurants in NYC (and I'm indian, so I should know).","['know', 'iffi', 'start', 'favorit', 'indian', 'one', 'place', 'nyc', 'restaur', 'littl']","['i know', 'favorite indian', ""i 'm"", 'favorite restaurants', 'place started', 'iffy started', 'little iffy', 'indian restaurants']",anecdotes/miscellaneous
They also do a great job for restaurant week.,"['job', 'restaur', 'great', 'week', 'also']","['job do', 'they do', 'great job', 'also do']",anecdotes/miscellaneous
I went to this restaurant with a woman that I met recently.,"['meet', 'go', 'restaur', 'woman', 'recent']","['i went', 'that met', 'i met']",anecdotes/miscellaneous
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).","['sausag', 'larg', 'best', 'sardin', 'shrimp', 'tasti', 'cream', 'ever', 'dish', 'amaz', 'fresh', 'biscuit', 'ice', 'offer', 'lamb', 'whole', 'uniqu', 'freshest', 'pistachio']","['', 'dishes were', 'i had', 'large shrimp', 'amazing cream', 'ever had', 'freshest i', 'very tasty', 'whole shrimp', 'amazing pistachio', 'pistachio cream', 'unique tasty']",food
This is where the aforementioned line was.,"['aforement', 'line']","['', 'this is', 'line was']",anecdotes/miscellaneous
The food is reliable and the price is moderate.,"['price', 'food', 'moder', 'reliabl']","['food is', 'price is']",food
"Aside from the bearded, courdoroy blazer professor type with the NYU student he's sleeping with that week, you see a strange mix of hipsters, frat boys, Will Smith types who need to be told they are black, bitter cougars who cant understand why they arent married yet....","['blazer', 'marri', 'smith', 'understand', 'mix', 'professor', 'black', 'beard', 'hipster', 'bitter', 'asid', 'yet', 'nyu', 'cant', 'frat', 'cougar', 'sleep', 'strang', 'boy', 'week', 'see', 'arent', 'courdoroy', 'tell', 'student', 'type', 'need']","['you see', 'who understand', 'bearded type', 'smith types', 'mix see', 'they are', 'courdoroy blazer', 'types smith', 'who need', 'strange mix', 'bitter cougars', 'nyu student', 'black cougars', 'he sleeping', 'frat boys']",ambience
"While the ambiance and atmosphere were great, the food and service could have been a lot better.","['servic', 'lot', 'better', 'atmospher', 'could', 'great', 'food', 'ambianc']","['food been', 'ambiance were']",food
We always go there on the weekends and leave extremely full and satisfied.,"['alway', 'weekend', 'leav', 'full', 'go', 'satisfi', 'extrem']","['we go', 'always go', 'extremely full']",anecdotes/miscellaneous
i dont how this place is still running.,"['run', 'still', 'dont', 'place']","['', 'i do', 'place running']",anecdotes/miscellaneous
The server was really cool and served us our food and drinks with a smile.,"['drink', 'us', 'realli', 'server', 'cool', 'food', 'serv', 'smile']","['server was', 'really cool', 'food served', 'us served']",service
We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.,"['search', 'sixth', 'stumbl', 'block', 'east', 'indian', 'food', 'restaur', 'street']","['we were', 'sixth street', 'east sixth', 'indian restaurants', 'east street']",anecdotes/miscellaneous
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","['hit', 'excel', 'alway', 'thai', 'thailand', 'sushi', 'usual', 'great', 'planet', 'go', 'food']","['which is', 'there usually', 'food is', 'i go', 'thai food', 'thailand been', 'always been']",food
"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record.","['hear', 'excit', 'sterl', 'record', 'naron', 'truli', 'move', 'chef', 'short', 'track', 'jason', 'term', 'low', 'point']","['sterling record', 'very excited', 'he was', 'truly was', 'low point', 'narone moved', 'short term', 'short-term chef']",anecdotes/miscellaneous
Excellent experience.,"['excel', 'experi']",[''],anecdotes/miscellaneous
"Well worth the trip, close to City Hall and downtown subway stops.","['well', 'worth', 'hall', 'close', 'stop', 'subway', 'citi', 'downtown', 'trip']",['downtown subway'],anecdotes/miscellaneous
I had to share my table with a loud group of kids and the service was rude an unattentive.,"['share', 'servic', 'unattent', 'tabl', 'group', 'loud', 'kid', 'rude']","['service was', 'loud group', 'table share', 'i had']",service
What more could you want?,"['could', 'want']","['you want', 'more want']",anecdotes/miscellaneous
"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.","['person', 'scar', 'eat', 'entertain', 'great', 'place', 'go', 'type', 'like']","['great place', 'who likes', 'you are', 'this is']",anecdotes/miscellaneous
"All in all, I don't see how you can go wrong.","['go', 'wrong', 'see']","['you go', 'i see', ""n't see""]",anecdotes/miscellaneous
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,"['good', 'sauc', 'skimp', 'sooo', 'fresh', 'tomato', 'pizza', 'garlic']","['garlic tomatoes', 'sooo good', ""n't skimp"", 'sauce sooo', 'fresh tomatoes', 'they skimp']",food
"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.","['perfect', 'sinc', 'locat', 'outdoor', 'decid', 'delight', 'tri', 'yorki', 'seat', 'recent']","['yorkie had', 'they have', 'seating have', 'recently decided', 'location try', 'we decided', 'perfect seating', 'i had', 'outdoor seating']",ambience
"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.","['cream', 'enjoy', 'salmon', 'ice', 'mesclun', 'cours', 'husband']","['husband had', 'mesclun had', 'courses enjoyed', 'he enjoyed']",food
We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,"['twenti', 'call', 'tell', 'curtain', 'would', 'wait', 'problem', 'pm', 'minut']","['wait was', 'we told']",anecdotes/miscellaneous
The food is usually good but it certainly isn't a relaxing place to go.,"['good', 'usual', 'food', 'place', 'go', 'certainli', 'relax']","['it is', ""n't is"", 'usually good', 'certainly is', 'food is', 'relaxing place']",food
I'm told that it is open 24hrs which is good.,"['tell', 'hr', 'open', 'good']","['which is', 'it is', 'i told', 'open 24hrs']",anecdotes/miscellaneous
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!","['awesom', 'knowledg', 'bistro', 'fabul', 'wonder', 'jazz', 'live', 'super', 'great', 'chilaquil', 'brunch', 'friendli', 'fare', 'staff']","['knowledgable staff', 'fabulous bistro', 'fabulous fare', 'friendly staff', 'bistro fare', 'wonderful jazz', 'chilaquiles were', 'wonderful brunch', 'great jazz', 'live jazz', 'great live']",food
The prices were fantastic.,"['price', 'fantast']",['prices were'],price
What a great place!,"['great', 'place']",['great place'],anecdotes/miscellaneous
"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...","['still', 'quibbl', 'liquer', 'bill', 'hous', 'set', 'pour', 'measur', 'courtesey']","['pour-your-own measures', 'which were', 'pour measures', 'were courtesey', 'quibbles were', 'own pour']",food
"The table service could have been a little more attentive but as someone who also works in the service industry, I understood they were busy.","['servic', 'tabl', 'understand', 'also', 'busi', 'industri', 'could', 'someon', 'littl', 'attent', 'work']","['also works', 'more attentive', 'i understood', 'service been', 'they were', 'little more', 'who works']",service
"It's not mind-blowing, but to me, thai food never is and never will be.","['blow', 'thai', 'never', 'food', 'mind']","[""it 's"", 'never be', 'never is', 'not mind-blowing', 'food is', 'thai food', ""not 's""]",food
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","['good', 'pork', 'wish', 'budget', 'roast', 'melt', 'bite', 'well', 'longer', 'fat', 'mouth', 'consid', 'experi', 'select', 'food', 'tri', 'belli', 'though', 'order']","['very good', 'food was', 'selection tried', 'fat was', 'melt-in-your-mouth experience', 'belly roasted', 'i wish', 'melt experience', 'that ordered', 'we tried', 'i ordered']",food
"Although, one night we went it was super cheesy, and another night it was less cheesy.","['less', 'cheesi', 'anoth', 'night', 'one', 'go', 'super', 'although']","['', 'super cheesy', 'we went', 'it was']",food
"Even though it is a little loud, you don't have to yell at each other to talk.","['yell', 'even', 'talk', 'loud', 'littl', 'though']","['it is', ""n't have"", 'little loud', 'you have']",ambience
"i've been to sapphire twice and both times the food was fine, if not good.","['good', 'fine', 'time', 'food', 'twice', 'sapphir']","['sapphire twice', 'not if', 'food was', 'i been', 'not good']",food
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,"['still', 'togeth', 'dinner', 'nice', 'beauti', 'enjoy', 'nosiy', 'tabl', 'close', 'place', 'kinda']","[""it 's"", 'it is', 'nice dinner', 'beautiful place', 'kinda nosiy', 'dinner enjoy']",ambience
Was surprisingly disappointed.,"['disappoint', 'surprisingli']",[''],anecdotes/miscellaneous
I love the fact that the pizza tastes so good and is so cheap.,"['good', 'tast', 'cheap', 'love', 'fact', 'pizza']","['i love', 'so good', 'so cheap', 'fact love', 'pizza tastes']",food
Nicky the Nose at the bar is a treat.,"['nicki', 'nose', 'bar', 'treat']",['nose is'],service
I went to Ruby Foo's after work with a group of 6.,"['rubi', 'group', 'go', 'foo', 'work']","['i went', 'ruby foo', 'foo ruby']",anecdotes/miscellaneous
I'm amazed we haven't been kicked out of this place yet.,"['yet', 'place', 'kick', 'amaz']","[""i 'm"", ""n't been"", 'we kicked', ""n't kicked""]",anecdotes/miscellaneous
"Service was prompt, friendly and great.","['friendli', 'great', 'servic', 'prompt']",[''],service
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.","['dress', 'realli', 'nice', 'eat', 'lemon', 'virgnin', 'oliv', 'extra', 'lamb', 'delici', 'oil', 'salad', 'chop']","['chop eat', 'as delicious', 'nice dressed', 'really nice', 'virgnin olive', 'extra virgnin', 'i eat', 'olive oil', 'delicious chop', ""n't eat"", 'salads are']",food
The sushi was awful!,"['sushi', 'aw']",['sushi was'],food
Katz's has been a NYC original for over 100 years.,"['katz', 'year', 'origin', 'nyc']","['', 'katz been']",anecdotes/miscellaneous
You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,"['excel', 'dainti', 'get', 'lexington', 'cost', 'indian', 'meal', 'one', 'dish', 'restaur', 'nearbi', 'avenu', 'mani']","['you get', 'excellent meal', 'many restaurants', 'nearby lexington', 'dishes get', 'meal get', 'lexington avenue', 'many indian', 'indian restaurants']",price
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.","['pastrami', 'cold', 'beer', 'pickl', 'pleasur', 'buttah', 'experi', 'ici', 'like', 'sandwich', 'wash']","['sandwich was', 'cold beer', 'pleasurable experience', 'it wash', 'it was']",food
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,"['wild', 'soggi', 'creativ', 'truffl', 'nothingon', 'drench', 'third', 'make', 'rest', 'plain', 'pizza', 'middl', 'oil', 'fornini', 'mushroom', 'gener']","['creative pizza', 'it soggy', 'wild mushroom', 'plain pizza', 'we had', 'third generation-fornini', 'mushroom(third fornini', 'truffle oil', 'pizza drenched', 'rest nothingon', 'creative wild', 'wild pizza', 'again making', 'pizza was']",food
"Late nite omelletes are not good here, there is no variety!","['good', 'nite', 'late', 'varieti', 'omellet']","['not are', 'omelletes are', 'late nite', 'not good']",food
Everything at Sala Thai is tasty and well-portioned.,"['thai', 'tasti', 'well', 'sala', 'portion', 'everyth']","['everything is', 'sala thai']",food
"After all that, they complained to me about the small tip.","['small', 'tip', 'complain']","['they complained', 'small tip']",service
It's a great place to pick up a cheap lunch or dinner.,"['dinner', 'cheap', 'lunch', 'great', 'pick', 'place']","['lunch pick', ""it 's"", 'great place', 'cheap lunch']",price
"Behind this counter, two men are squeezed in.","['men', 'two', 'counter', 'squeez', 'behind']",['men squeezed'],ambience
Great find!!!,"['great', 'find']",[''],anecdotes/miscellaneous
"If only they delivered, they'd make a mint!","['mint', 'make', 'deliv']","['', 'they delivered', 'they make']",anecdotes/miscellaneous
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.","['qualiti', 'fish', 'servic', 'fix', 'sushi', 'great', 'mizu', 'whenev', 'need']","['fix need', 'great service', 'mizu be', 'sushi fix', 'you need']",food
"Our waitress was sweet and accomodating, not overbearing.","['sweet', 'accomod', 'overbear', 'waitress']","['not overbearing', 'waitress was']",service
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,"['wife', 'see', 'sigh', 'wait', 'even', 'tabl', 'reserv', 'go', 'empti', 'could', 'though', 'mani']","['you see', 'many see', 'we had', 'there many', 'not reservation', 'that were']",service
I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,"['ant', 'tell', 'realli', 'eat', 'even', 'disappoint', 'food', 'go', 'everyon', 'take', 'want']","['ant wanted', 'not go', 'really disappointed', 'tell everyone', 'food take', 'i was', 'everyone tell', 'disappointed ant', 'even take', 'go eat']",anecdotes/miscellaneous
The website and rating makes this place look wonderful but in reality it was very disappointing.,"['rat', 'websit', 'wonder', 'look', 'make', 'place', 'realiti', 'disappoint']","['look wonderful', 'very disappointing', 'place look', 'it was', 'website makes']",ambience
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.","['art', 'ultra', 'perfect', 'slightli', 'menu', 'limit', 'despit', 'do', 'fresh', 'food', 'prepar', 'everyth', 'work']","['slightly limited', 'limited menu', 'ultra fresh', 'everything done']",food
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,"['world', 'outdoor', 'away', 'atmospher', 'th', 'wonder', 'cool', 'even', 'sidewalk', 'watch', 'go', 'sit', 'avenu', 'feet']","['outdoor atmosphere', 'world go', 'atmosphere was', '6th avenue', 'cool evening']",ambience
"A large is $20, and toppings are about $3 each.","['larg', 'top']","['toppings are', 'large is']",price
"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.","['town', 'part', 'sure', 'place', 'stop', 'event']","['this is', ""i 'm"", 'i be']",anecdotes/miscellaneous
I definitely wouldn't go back.,"['back', 'go', 'definit']","['i go', ""n't go""]",anecdotes/miscellaneous
It is not worth for that bucks.,"['buck', 'worth']","['not is', 'not worth', 'it is']",price
brick oven gallery is My pick for best pizza restaurant anywhere.,"['best', 'oven', 'galleri', 'brick', 'pick', 'pizza', 'restaur', 'anywher']","['oven gallery', 'best restaurant', 'best pizza', 'gallery is']",anecdotes/miscellaneous
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"['servic', 'price', 'even', 'reason', 'great', 'food', 'begin', 'add']","['reasonable price', 'you have', 'great service', 'yourself have', 'great food', 'beginning have', 'great evening']",food
"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic.","['arent', 'thai', 'authent', 'seem', 'may', 'nyc', 'food', 'place', 'aunthent', 'like', 'peopl', 'quit', 'mani']","['', 'many people', 'places are', 'aunthentic thai', 'aunthentic food', 'not seem', 'most places', 'quite authentic', 'thai food', 'this seem']",food
"Growing up in NY, I have eaten my share of bagels.","['share', 'bagel', 'grow', 'eat', 'ny']","['i eaten', 'share eaten']",anecdotes/miscellaneous
"Oh, don't even let me start with how expensive the bills were!","['bill', 'start', 'oh', 'even', 'expens', 'let']","['bills were', ""n't even"", 'even let', ""n't let"", 'me start']",price
A hearty two thumbs up!,"['two', 'thumb', 'hearti']",['hearty thumbs'],anecdotes/miscellaneous
The scallion pancakes and fried dumplings were nothing out of the ordinary.,"['pancak', 'ordinari', 'dumpl', 'fri', 'scallion', 'noth']","['fried dumplings', 'scallion pancakes', 'were nothing']",food
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!","['appet', 'steak', 'mouth', 'fabul', 'water', 'delici', 'pasta', 'salad']","['', 'appetizers were', 'steak was', 'pasta was']",food
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.","['actual', 'give', 'tabl', 'receiv', 'dish', 'rest', 'restaur', 'seat', 'undercook', 'charg', 'besid', 'twice', 'patron', 'promis', 'bill', 'one', 'three', 'time', 'minut', 'serv', 'order']","['other restaurant', 'served dishes', 'actually seated', 'other patrons', 'dishes served', 'rest served', 'order undercooked', 'we been', 'we promised', 'we ordered', 'we served', 'we seated', 'table having', ""n't ordered"", 'one received', '45 charged', 'more 45', 'restaurant patrons']",service
Service is top notch.,"['notch', 'top', 'servic']","['top notch', 'service is']",service
The food now is inconsistent.,"['inconsist', 'food']","['now is', 'food is']",food
All pretty good.,"['good', 'pretti']",['pretty good'],anecdotes/miscellaneous
"You can also special order any kind of dumpling,etc.","['etc', 'kind', 'dumpl', 'special', 'also', 'order']","['you order', 'also special', 'kind order', 'special order']",anecdotes/miscellaneous
you guys rock.,"['guy', 'rock']",['guys rock'],anecdotes/miscellaneous
Chance is a joke.,"['joke', 'chanc']",['chance is'],anecdotes/miscellaneous
I was pretty much full after our fondue appetizer.,"['appet', 'pretti', 'fondu', 'much', 'full']","['much full', 'i was', 'fondue appetizer', 'pretty much']",food
BE CAREFUL before you request extra spice.,"['request', 'spice', 'care', 'extra']","['spice request', 'extra spice', 'you request']",food
The octopus eaters were floored by the Octopus salad.,"['floor', 'eater', 'octopu', 'salad']",['eaters floored'],food
