reviews,lemmas,lemmas,lemmas,aspectCategory
"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.","['stand', 'say', 'waiter', 'leav', 'anoth', 'door', 'coupl', 'hurri']",,we leaving;couple said;we 're;not 're;,anecdotes/miscellaneous
"The menu was impressive with selections ranging from a burger, to steak, to escargot.","['rang', 'steak', 'impress', 'escargot', 'burger', 'select', 'menu']",,menu was;,food
"In fact, two people could really share one plate.","['share', 'one', 'fact', 'could', 'two', 'peopl', 'realli', 'plate']",,people share;plate share;,food
The food is great and authentic.,"['food', 'great', 'authent']",,food is;,food
This was a repeat visit and we'll definitely be back again.,"['definit', 'repeat', 'back', 'visit']",definitely be;back again;,this was;we be;,anecdotes/miscellaneous
during happy hour!,"['hour', 'happi']",happy hour;,happy hour;,anecdotes/miscellaneous
Good for casual dinner with jeans and sneakers.,"['jean', 'good', 'dinner', 'casual', 'sneaker']",casual dinner;,casual dinner;,anecdotes/miscellaneous
Love YUKA.,"['love', 'yuka']",,,anecdotes/miscellaneous
"Anyway, the food is good, the price is right and they have a decent wine list.","['good', 'decent', 'right', 'list', 'wine', 'price', 'anyway', 'food']",decent wine;,food is;price is;they have;decent list;list have;,food
"Go, go, hurry, before everyone finds out about it.","['everyon', 'find', 'hurri', 'go']",,everyone finds;,anecdotes/miscellaneous
Prices are higher to dine in and their chicken tikka marsala is quite good.,"['good', 'tikka', 'chicken', 'quit', 'higher', 'price', 'marsala', 'dine']",quite good;,prices are;marsala is;,food
I am bringing my whole family back next time.,"['whole', 'time', 'famili', 'back', 'next', 'bring']",whole family;back next;next time;,i bringing;whole family;family bringing;next time;,anecdotes/miscellaneous
This place has many different styles of pizza and they are all amazing.,"['style', 'place', 'differ', 'amaz', 'mani', 'pizza']",many different;different styles;,place has;many styles;different styles;styles has;they are;,food
The photos of the restaurant in its web site are way better than the real look.,"['way', 'real', 'photo', 'look', 'restaur', 'site', 'better', 'web']",are way;real look;,photos are;real look;,ambience
The food was lousy - too sweet or too salty and the portions tiny.,"['sweet', 'lousi', 'salti', 'tini', 'food', 'portion']",too sweet;too salty;,food was;lousy too;portions tiny;,food
But the coconut rice was good.,"['good', 'coconut', 'rice']",,coconut rice;rice was;,food
It took them 25 minutes to bring our appetizer.,"['minut', 'take', 'appet', 'bring']",,it took;minutes took;appetizer bring;,service
A guaranteeed delight!,"['delight', 'guarante']",,guaranteeed delight;,anecdotes/miscellaneous
I have been coming to this neighborhood spot for years.,"['year', 'spot', 'neighborhood', 'come']",,i coming;,anecdotes/miscellaneous
Overall I would recommend it and go back again.,"['recommend', 'go', 'overal', 'would', 'back']",overall i;back again;,i recommend;it recommend;,anecdotes/miscellaneous
The food was great.,"['food', 'great']",,food was;,food
Pair you food with the excellent beers on tap or their well priced wine list.,"['well', 'tap', 'list', 'wine', 'pair', 'price', 'excel', 'food', 'beer']",excellent beers;wine list;,food pair;excellent beers;priced list;,food
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,"['dollar', 'great', 'minimun', 'music', 'least', 'isnt', 'love', 'bottl', 'want', 'like', 'blast', 'pay', 'system']",,you blasted;music blasted;system is;you want;minimun pay;you love;it love;,ambience
All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,"['place', 'worker', 'food', 'amaz', 'state', 'co', 'wonder', 'hear']",n't heard;,all stated;food was;they heard;n't heard;,food
"Anyway, this is the last time I cross the williamsburg.","['williamsburg', 'time', 'last', 'cross', 'anyway']",last time;time i;i cross;,this is;last time;i cross;williamsburg cross;,anecdotes/miscellaneous
Metrazur has a beautiful spot overlooking the main terminal.,"['metrazur', 'beauti', 'spot', 'overlook', 'main', 'termin']",beautiful spot;main terminal;,metrazur has;beautiful spot;spot has;main terminal;terminal overlooking;,ambience
Friendly staff that actually lets you enjoy your meal and the company you're with.,"['friendli', 'staff', 'meal', 'enjoy', 'compani', 'actual', 'let']",friendly staff;actually lets;,friendly staff;that lets;you enjoy;meal enjoy;you 're;,service
"When I'm feeling stressed by the noise and congestion around my office, I head for Cafe St. Bart's.","['nois', 'feel', 'bart', 'cafe', 'head', 'st', 'around', 'offic', 'congest', 'stress']",i head;cafe st.;st. bart;,i feeling;i head;,anecdotes/miscellaneous
Guess the 555Soul ads didn't launch her big modeling career.,"['big', 'model', 'career', 'ad', 'guess', 'launch', 'soul']",n't launch;big modeling;,ads launch;n't launch;big career;career launch;,anecdotes/miscellaneous
The restaurant is rather small but we were lucky to get a table quickly.,"['small', 'get', 'tabl', 'restaur', 'lucki', 'rather', 'quickli']",rather small;,restaurant is;we were;table get;,service
"Besides, we were on vacation!","['vacat', 'besid']",,we were;,anecdotes/miscellaneous
I love this cozy around the way Rest.,"['way', 'love', 'around', 'rest', 'cozi']",i love;,i love;cozy love;,ambience
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.","['fish', 'lamb', 'pork', 'chicken', 'price', 'qualiti', 'excel', 'food', 'stick', 'veget', 'cheap']",,quality is;,food
Don't leave without trying One Night in Tokyo.,"['without', 'one', 'tokyo', 'tri', 'leav', 'night']",n't leave;,n't leave;night trying;,anecdotes/miscellaneous
Save yourself the time and trouble and skip this one!,"['skip', 'one', 'time', 'troubl', 'save']",,time save;one skip;,anecdotes/miscellaneous
This is my favorite Italian restaurant in all of New York City.,"['citi', 'new', 'italian', 'restaur', 'york', 'favorit']",favorite italian;italian restaurant;new york;,this is;favorite restaurant;italian restaurant;new city;,anecdotes/miscellaneous
"The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty.","['littl', 'tight', 'place', 'drafti', 'day', 'entranceway', 'pretti', 'cold', 'seat']",little tight;cold day;pretty drafty;,place is;cold day;seating be;,ambience
The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,"['good', 'zabar', 'reason', 'barney', 'buy', 'appet', 'greengrass', 'price', 'excel', 'pound']",just as;as good;reasonable price;,appetizing is;reasonable price;,food
"But, they were too big for the bun.","['big', 'bun']",too big;,they were;,food
"The food is fresh, delicious, and reasonably priced.","['delici', 'reason', 'fresh', 'price', 'food']",reasonably priced;,food is;,food
Raga stands out with an interesting fusion of French and Indian cooking.,"['stand', 'french', 'indian', 'interest', 'cook', 'fusion', 'raga']",interesting fusion;indian cooking;,raga stands;interesting fusion;french cooking;,food
"A few tips: skip the turnip cake, roast pork buns and egg custards.","['skip', 'cake', 'pork', 'custard', 'roast', 'turnip', 'tip', 'bun', 'egg']",few tips;,few tips;cake skip;,food
The bagels are fabulous.,"['bagel', 'fabul']",,bagels are;,food
"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.","['lie', 'avail', 'phone', 'ye', 'claim', 'oh', 'garden', 'seat', 'cours']",not available;,they lie;they seating;seats are;not are;,service
Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,"['kind', 'good', 'eat', 'water', 'place', 'although', 'relax', 'overal', 'servic', 'like', 'question', 'would', 'typic']",very relaxing;,they do;typical do;kind like;you like;questions like;service was;,service
"The food was very good, a great deal, and the place its self was great.","['good', 'place', 'self', 'food', 'deal', 'great']",very good;great deal;,food was;great deal;place was;self was;,food
The food options rule.,"['food', 'rule', 'option']",,,food
A great choice at any cost and a great deal.,"['choic', 'deal', 'great', 'cost']",great choice;great deal;,great choice;great deal;,anecdotes/miscellaneous
"Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.","['tasteless', 'place', 'planet', 'greasi', 'complimentari', 'differ', 'like', 'anybodi', 'dri', 'must']",different planet;tasteless are;,anybody be;who likes;place likes;different planet;greasy are;,food
"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight.","['eat', 'march', 'flight', 'wine', 'pre', 'dinner', 'theatr', 'cours', 'order']",pre-theatre 3-course;3-course dinner;wine flight;,we ate;dinner ordered;,food
Definately check it out!!!,"['check', 'defin']",definately check;,it check;,anecdotes/miscellaneous
"Probably much busier for lunch, it's seldom crowded for dinner (too close to downtown).","['lunch', 'seldom', 'probabl', 'downtown', 'busier', 'dinner', 'much', 'close', 'crowd']",probably much;much busier;seldom crowded;too close;,it 's;close dinner;,ambience
"Their calzones are horrific, bad, vomit-inducing, YUCK.","['induc', 'vomit', 'horrif', 'calzon', 'bad', 'yuck']",,calzones are;horrific yuck;bad yuck;inducing yuck;,food
It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.,"['almost', 'dont', 'take', 'get', 'alway', 'forget', 'although', 'forev', 'someth', 'charg', 'drink', 'bring']",almost always;always forget;bring something;,it takes;drink get;they forget;something bring;they forget;you charge;,service
The place itself is beautiful the bar scene seems to be happening.,"['place', 'beauti', 'happen', 'seem', 'scene', 'bar']",,place is;scene seems;,ambience
"Saturday, Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us.","['nov', 'group', 'work', 'saturday', 'staff', 'peopl', 'accomod', 'us', 'th', 'amaz', 'come']",,i had;group come;staff was;us accomodate;,service
"Good spreads, great beverage selections and bagels really tasty.","['beverag', 'good', 'tasti', 'realli', 'select', 'spread', 'bagel', 'great']",good spreads;great beverage;really tasty;,good spreads;spreads tasty;great selections;,food
"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.","['choos', 'waiter', 'know', 'would', 'neglect', 'fill', 'us', 'special', 'first', 'serv']",,waiter neglected;who served;us served;us fill;which chosen;i chosen;i known;,service
We will be back.,['back'],,we be;,anecdotes/miscellaneous
"Also, top the meal with a delicious and perfect slice of tiramisu.","['top', 'delici', 'perfect', 'meal', 'also', 'tiramisu', 'slice']",perfect slice;,meal top;delicious slice;,food
It seems like this is a place the locals like and the people working here liked it too.,"['work', 'place', 'peopl', 'seem', 'like', 'local']",here liked;,it seems;this is;locals liked;it liked;,anecdotes/miscellaneous
Check out the secret back room.,"['check', 'back', 'room', 'secret']",secret back;,secret room;back room;room check;,ambience
"It's also attached to Angel's Share, which is a cool, more romantic bar...","['angel', 'cool', 'share', 'attach', 'also', 'bar', 'romant']",also attached;more romantic;romantic bar;,it attached;which is;cool bar;romantic bar;,ambience
"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.","['rush', 'sometim', 'real', 'get', 'tri', 'door', 'push', 'servic', 'authent', 'food']",authentic food;real service;not just;,authentic food;they have;real service;service have;not rush;you get;they try;you push;,food
Stick to the gulab jamun.,"['gulab', 'jamun', 'stick']",,,food
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.","['good', 'area', 'place', 'italian', 'poor', 'list', 'review', 'wine', 'flood', 'price', 'servic', 'amaz', 'standout', 'great', 'wonder', 'atmospher', 'find']",poor reviews-;reviews- i;standout italian;italian- great;great prices;good service;wonderful wine;wine list;,i am;poor reviews-;i find;place be;italian- prices;great prices;great atmosphere;good service;wonderful list;,food
I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,"['wait', 'diner', 'past', 'behind', 'tabl', 'head', 'staff', 'us', 'hoist', 'back', 'tray', 'squeez']",was back-to-back;wait staff;hoist trays;,i was;staff had;trays hoist;they squeezed;,service
With the theater 2 blocks away we had a delicious meal in a beautiful room.,"['room', 'delici', 'block', 'away', 'beauti', 'meal', 'theater']",delicious meal;beautiful room;,we had;delicious meal;meal had;beautiful room;,food
"I was a little leary about Mary's at first - it's small, crowded and you usually have to wait on line - but I'm glad I finally tried it.","['littl', 'small', 'wait', 'final', 'usual', 'leari', 'tri', 'line', 'mari', 'first', 'glad', 'crowd']",little leary;usually have;i 'm;glad i;finally tried;,i was;little leary;it 's;you have;i 'm;i tried;it tried;,ambience
We were not dissappointed in the least bit by this little gem.,"['gem', 'littl', 'least', 'bite', 'dissappoint']",not dissappointed;least bit;little gem;,we dissappointed;not dissappointed;least bit;little gem;,anecdotes/miscellaneous
Also very inexpensive.,"['inexpens', 'also']",also very;very inexpensive;,,price
"We've only eaten in the restaurant once, but we have ordered many times for dinner.","['eat', 'time', 'restaur', 'dinner', 'mani', 'order']",only eaten;many times;,we eaten;we ordered;many times;times ordered;,anecdotes/miscellaneous
I got enough reasons to keep coming back!!!,"['keep', 'enough', 'reason', 'get', 'back', 'come']",enough reasons;,i got;enough reasons;reasons got;,anecdotes/miscellaneous
By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,"['know', 'ny', 'black', 'coupl', 'ginger', 'northeastern', 'america', 'frog', 'place', 'feet', 'jelli', 'pig', 'vinegar', 'simmer', 'chines', 'varieti', 'far', 'serv', 'close', 'dessert', 'anywher']",only chinese;chinese desserts;anywhere close;northeastern america;serves desserts;pig feet;black vinegar;,this is;only place;chinese place;i know;northeastern america;that serves;desserts serves;black vinegar;,food
The food is great and reasonably priced.,"['food', 'great', 'price', 'reason']",reasonably priced;,food is;,food
The characters really make for an enjoyable experience.,"['make', 'charact', 'realli', 'enjoy', 'experi']",really make;enjoyable experience;,characters make;enjoyable experience;,ambience
I would definitely recommend SEA if you like thai cuisine!,"['thai', 'recommend', 'cuisin', 'like', 'would', 'definit', 'sea']",definitely recommend;recommend sea;thai cuisine;,i recommend;sea recommend;you like;cuisine like;,food
"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.","['littl', 'gem', 'amaz', 'alway', 'famili', 'although', 'busi', 'vittorio', 'consist', 'abl', 'host', 'rememb', 'crew', 'year', 'frequent', 'treat', 'visitor', 'even']",always treated;not-so-little gem;even able;not-so-frequent visitor;,host treated;me treated;not little;little gem;gem does;it amazing;he 's;consistent visitor;not frequent;frequent visitor;visitor remember;,service
"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.","['sever', 'group', 'eat', 'tabl', 'accomod', 'restuar', 'buck', 'seem', 'round', 'larg', 'hop', 'save', 'authent', 'taiwanes']",not large;several round;large groups;authentic taiwanese;,restuarant is;not is;several tables;round tables;tables have;large groups;groups accomodate;buck save;authentic taiwanese;taiwanese eat;,ambience
"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.","['eat', 'sever', 'husband', 'could', 'say', 'best', 'french', 'fri', 'exclaim', 'portion', 'even', 'fine']",several more;even exclaimed;french fries;,husband said;he eaten;several more;more eaten;portion was;he exclaimed;french fries;fries were;he had;,food
You cannot go wrong with this place.,"['place', 'go', 'wrong', 'cannot']",not go;,you go;not go;,anecdotes/miscellaneous
"It is the type of place to run into old friends and have a late, raucus dinner.","['place', 'late', 'type', 'run', 'old', 'raucu', 'dinner', 'friend']",old friends;raucus dinner;,it is;old friends;late dinner;dinner have;,anecdotes/miscellaneous
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.","['delici', 'dish', 'never', 'regular', 'fare', 'special', 'menu', 'food', 'disappoint']",regular menu-fare;,food is;regular fare;dishes are;never are;,food
Prices are in line.,"['line', 'price']",,prices are;,price
"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.","['tomato', 'sauc', 'mozz', 'fresh', 'basil', 'make', 'flour', 'one', 'ny', 'dough', 'import', 'combin', 'better', 'chees', 'pizza']",fresh tomato;fresh mozz;imported flour;better pizza;,combination makes;fresh sauce;fresh mozz;they make;imported flour;this is;better pizza;,food
The food is prepared quickly and efficiently.,"['food', 'quickli', 'prepar', 'effici']",,food prepared;,food
and for this i had to shell out a small fortune?,"['small', 'shell', 'fortun']",small fortune;,i had;small fortune;fortune shell;,price
"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven.","['roll', 'paneer', 'piec', 'new', 'tri', 'indian', 'food', 'heaven']",indian food;,new all;food indian;roll try;it is;,food
The food looked very appetizing and delicious since it came on a variety of fancy plates.,"['delici', 'look', 'appet', 'fanci', 'varieti', 'food', 'plat', 'sinc', 'come']",very appetizing;fancy plates;,food looked;it came;fancy plates;,food
Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,"['fresh', 'mozzerella', 'plain', 'phenomen', 'slice', 'chees']",fresh mozzerella;plain cheese;cheese slice;,fresh slices;slices are;plain slice;,food
I have tried literally every restaurant on curry row.,"['curri', 'tri', 'everi', 'restaur', 'liter', 'row']",,i tried;restaurant tried;,anecdotes/miscellaneous
"The food is terrible and overall, I would have to say avoid at all costs.","['cost', 'say', 'overal', 'terribl', 'food', 'would', 'avoid']",say avoid;,food is;i have;,food
"I've been to this monster sushi twice, the 46th st once, the 23rd st one a number of times.","['number', 'one', 'time', 'sushi', 'st', 'twice', 'th', 'monster', 'rd']",,i been;46th st;23rd st;,anecdotes/miscellaneous
"Unfortunately, the food was NOT something to get worked up about.","['work', 'get', 'someth', 'food', 'unfortun']",,food was;not was;,food
"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).","['pakistani', 'crosbi', 'turnov', 'surprisingli', 'fresh', 'e', 'st', 'line', 'cater', 'constantli', 'food', 'open', 'cabbi', 'expect']",constantly open;crosby st.;more turnover;surprisingly fresh;,it 's;pakistani cabbies;more turnover;you expect;,food
I had Filet Mignon with garlic mash.,"['mignon', 'filet', 'mash', 'garlic']",filet mignon;garlic mash;,i had;mignon had;garlic mash;,food
"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.","['marvel', 'steak', 'frite', 'tomato', 'specif', 'creme', 'go', 'pm', 'roast', 'brule', 'theater', 'soup', 'pre', 'menu', 'chevr']",i went;pre-theater menu;roasted tomato;,i went;pre theater;roasted soup;it was;,food
"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.","['quarter', 'attent', 'waitstaff', 'polit', 'impress', 'help', 'close', 'feat']",impressive feat;such close;close quarters;,waitstaff were;impressive feat;such quarters;close quarters;,service
Go inside and you won't want to leave.,"['insid', 'go', 'leav', 'want']",n't want;,you want;n't want;,anecdotes/miscellaneous
I loving bringing friends here - and I do so every chance I get.,"['chanc', 'bring', 'get', 'love', 'everi', 'friend']",bringing friends;,i loving;friends bringing;i do;chance do;i get;,anecdotes/miscellaneous
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.","['top', 'delici', 'want', 'actual', 'pizza', 'tasti', 'person', 'size', 'howev', 'margarit', 'like', 'arugula', 'warn', 'make', 'bread', 'prosciutto', 'super', 'favourit', 'babi', 'cold', 'salad', 'begin', 'come', 'peter']",super tasty;personal sizes;however be;favourite pizza;margarite pizza;cold prosciutto;,bread is;you want;more want;pizza is;personal sizes;favourite pizza;pizza is;cold prosciutto;,food
"Yes, the prices are high, but I felt it was worth it.","['worth', 'ye', 'price', 'felt', 'high']",,prices are;i felt;it was;,price
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.","['keep', 'stagnat', 'bruschetta', 'tramezzini', 'palat', 'select', 'larg', 'panini']",large selection;,large selection;selection keep;tramezzinis keep;palate keep;,food
"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.","['way', 'despit', 'fact', 'diner', 'waiter', 'alway', 'busi', 'go', 'lot', 'help', 'find', 'often']",always found;often busy;,waiters go;they are;,service
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.","['genuin', 'without', 'give', 'new', 'tasti', 'dish', 'heavi', 'burn', 'restaur', 'life', 'cuisin', 'realli', 'indian', 'out', 'old', 'chef', 'fare', 'classic', 'innov']",n't classical;classical restaurant;new life;old cuisine;really innovative;tasty dishes;genuinely indian;same old;old restaurant;,this is;n't is;classical fare;chef given;new life;life given;old cuisine;innovative dishes;that are;heavy outs;old outs;,food
The owner truly caters to all your needs.,"['need', 'truli', 'owner', 'cater']",,owner caters;,service
He takes real pride in his food and his business.,"['real', 'take', 'pride', 'busi', 'food']",real pride;,he takes;real pride;pride takes;,service
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,"['new', 'time', 'make', 'visit', 'smith', 'everi', 'point', 'restaur', 'saul', 'york', 'street']",new york;visit restaurant;smith street;,new york;i make;it point;saul visit;smith street;,anecdotes/miscellaneous
My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,"['celebr', 'say', 'go', 'night', 'boyfriend', 'magnific', 'birthday']",i went;other night;,boyfriend went;birthday celebrate;other night;all is;i say;it was;,anecdotes/miscellaneous
"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.","['prix', 'go', 'nice', 'meal', 'theater', 'enjoy', 'pre', 'montparnass', 'want', 'earli', 'fix']",enjoyable meal;pre-theater prix-fixe;,you want;nice meal;enjoyable meal;meal want;,food
"Over the years, it has always provided a pleasurable dining experience with quality food and wine.","['alway', 'wine', 'qualiti', 'provid', 'experi', 'food', 'year', 'din', 'pleasur']",always provided;pleasurable dining;,it provided;pleasurable experience;experience provided;,food
I would go back tho.,"['would', 'go', 'back', 'tho']",,i go;,anecdotes/miscellaneous
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.","['group', 'touch', 'certainli', 'cute', 'pork', 'dish', 'noodl', 'fri', 'chicken', 'menu', 'photobook', 'help', 'chop', 'pick', 'order']",cute touch;certainly helped;fried chicken;noodle dishes;,menu was;cute touch;group helped;i pick;fried chicken;chicken pick;that ordered;we ordered;,food
too large for just two people but nothing was left.,"['noth', 'two', 'peopl', 'leav', 'larg']",too large;,nothing left;,food
I cannot imagine better Indian food in all of the city.,"['citi', 'imagin', 'indian', 'food', 'better', 'cannot']",not imagine;better indian;indian food;,i imagine;not imagine;better food;indian food;food imagine;,food
Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,"['littl', 'date', 'place', 'get', 'tabl', 'privaci', 'tri', 'corner', 'sit', 'great', 'booth', 'romant', 'close']",great romantic;romantic place;little privacy;,great place;romantic place;place try;table get;little privacy;,ambience
A pleasant surprise.,"['pleasant', 'surpris']",pleasant surprise;,pleasant surprise;,anecdotes/miscellaneous
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,"['manag', 'sandwich', 'basic', 'take', 'tell', 'busi', 'elsewher', 'ask', 'open', 'face', 'chees']",open faced;cheese sandwich;basically told;,i asked;open faced;faced sandwich;me told;business take;,service
If you don't mind all that noise then go to the Chart House.,"['nois', 'mind', 'go', 'chart', 'hous']",n't mind;then go;,you mind;n't mind;noise go;,ambience
We got most of it back at home with us.,"['home', 'back', 'us', 'get']",,we got;most got;,anecdotes/miscellaneous
Get there before 7pm.,"['pm', 'get']",,,anecdotes/miscellaneous
very good breads as well.,"['good', 'well', 'bread']",very good;good breads;as well;,good breads;,food
"if this happens, just ask for real naan.","['happen', 'real', 'naan', 'ask']",just ask;real naan;,this happens;real naan;,anecdotes/miscellaneous
We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,"['half', 'ined', 'saturday', 'option', 'visit', 'fan', 'recent', 'night', 'squid', 'price']",were fans;inedible squid;recent visit;,we were;half price;inedible squid;recent visit;,food
"So, if yo really don't care who is sittingnext to you, which is about 2 inches away, I would say try it.","['yo', 'sittingnext', 'inch', 'say', 'tri', 'away', 'care', 'realli', 'would']",really do;n't care;,yo care;n't care;who is;which is;i say;it try;,ambience
"Pizza is terrific, as is homemade pasta.","['homemad', 'pizza', 'terrif', 'pasta']",homemade pasta;,pizza is;homemade pasta;,food
Definitely a neighborhood favorite.,"['favorit', 'definit', 'neighborhood']",,,anecdotes/miscellaneous
This is a wonderful place on all stand points especially value ofr money.,"['stand', 'ofr', 'place', 'money', 'valu', 'point', 'wonder', 'especi']",wonderful place;stand points;value ofr;ofr money;,this is;wonderful place;stand points;money value;,price
My first encounter happened one friday evening with a friend.,"['one', 'happen', 'friday', 'first', 'encount', 'friend', 'even']",first encounter;,first encounter;encounter happened;,anecdotes/miscellaneous
Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,"['dollar', 'soup', 'oz', 'mushroom', 'exampl']",,example is;which was;,price
"Service is not exactly five star, but thats not really a big deal.","['big', 'star', 'realli', 'servic', 'exactli', 'five', 'deal', 'that']",not exactly;not really;big deal;,service is;not is;that s;not s;big deal;,service
There are other people waiting!,"['wait', 'peopl']",other people;,other people;,service
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.","['delici', 'rasberri', 'sensat', 'appet', 'begin', 'souffl', 'mint', 'chocol', 'delight', 'scallop', 'sorbet', 'incred', 'tast']",beginning appetizers;delicious chocolate;rasberry mint;,appetizers beginning;scallops were;delicious chocolate;sorbet rasberry;we delighted;,food
OU MUST TRY THIS RESTAURANT.,"['tri', 'must', 'restaur', 'ou']",,ou try;restaurant try;,anecdotes/miscellaneous
"We left, never to return.","['return', 'leav', 'never']",,we left;never return;,anecdotes/miscellaneous
Consistently good Japanese Tapas.,"['japanes', 'consist', 'good', 'tapa']",consistently good;good japanese;japanese tapas;,good tapas;japanese tapas;,food
No apologies during restaurant week.,"['apolog', 'restaur', 'week']",restaurant week;,,anecdotes/miscellaneous
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.","['fish', 'good', 'rice', 'everyth', 'absolut', 'amaz', 'seawe']",absolutely amazing;,goodness was;,food
"This place started off a little iffy, but is now one of my favorite indian restaurants in NYC (and I'm indian, so I should know).","['littl', 'start', 'one', 'place', 'know', 'indian', 'restaur', 'iffi', 'nyc', 'favorit']",little iffy;favorite indian;indian restaurants;,place started;little iffy;iffy started;favorite restaurants;indian restaurants;i 'm;i know;,anecdotes/miscellaneous
They also do a great job for restaurant week.,"['job', 'restaur', 'week', 'also', 'great']",also do;great job;,they do;great job;job do;,anecdotes/miscellaneous
I went to this restaurant with a woman that I met recently.,"['meet', 'recent', 'go', 'restaur', 'woman']",i went;i met;,i went;that met;i met;,anecdotes/miscellaneous
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).","['lamb', 'whole', 'tasti', 'dish', 'best', 'fresh', 'offer', 'sausag', 'ice', 'cream', 'freshest', 'shrimp', 'uniqu', 'sardin', 'larg', 'biscuit', 'pistachio', 'amaz', 'ever']",very tasty;large whole;whole shrimp;amazing pistachio;freshest i;ever had;,dishes were;unique tasty;large shrimp;whole shrimp;amazing cream;pistachio cream;i had;,food
This is where the aforementioned line was.,"['aforement', 'line']",aforementioned line;,this is;aforementioned line;line was;,anecdotes/miscellaneous
The food is reliable and the price is moderate.,"['food', 'moder', 'price', 'reliabl']",,food is;price is;,food
"Aside from the bearded, courdoroy blazer professor type with the NYU student he's sleeping with that week, you see a strange mix of hipsters, frat boys, Will Smith types who need to be told they are black, bitter cougars who cant understand why they arent married yet....","['cougar', 'see', 'tell', 'black', 'boy', 'week', 'student', 'professor', 'bitter', 'mix', 'smith', 'type', 'cant', 'need', 'yet', 'frat', 'courdoroy', 'sleep', 'blazer', 'marri', 'asid', 'hipster', 'strang', 'nyu', 'arent', 'beard', 'understand']",courdoroy blazer;nyu student;strange mix;smith types;bitter cougars;,bearded type;nyu student;he sleeping;you see;strange mix;mix see;frat boys;types smith;who need;they are;black cougars;bitter cougars;who understand;they are;,ambience
"While the ambiance and atmosphere were great, the food and service could have been a lot better.","['could', 'better', 'servic', 'lot', 'ambianc', 'food', 'great', 'atmospher']",,ambiance were;food been;,food
