reviews,lemmas,aspectCategory
With the theater 2 blocks away we had a delicious meal in a beautiful room.,"['away', 'meal', 'beauti', 'room', 'theater', 'block', 'delici']",food
"I was a little leary about Mary's at first - it's small, crowded and you usually have to wait on line - but I'm glad I finally tried it.","['crowd', 'wait', 'tri', 'mari', 'final', 'littl', 'line', 'leari', 'small', 'first', 'glad', 'usual']",ambience
We were not dissappointed in the least bit by this little gem.,"['bite', 'littl', 'dissappoint', 'gem', 'least']",anecdotes/miscellaneous
Also very inexpensive.,"['inexpens', 'also']",price
"We've only eaten in the restaurant once, but we have ordered many times for dinner.","['mani', 'dinner', 'time', 'order', 'eat', 'restaur']",anecdotes/miscellaneous
I got enough reasons to keep coming back!!!,"['enough', 'come', 'get', 'back', 'reason', 'keep']",anecdotes/miscellaneous
By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,"['northeastern', 'anywher', 'close', 'place', 'far', 'chines', 'vinegar', 'dessert', 'coupl', 'pig', 'know', 'black', 'feet', 'america', 'serv', 'simmer', 'jelli', 'ny', 'ginger', 'varieti', 'frog']",food
The food is great and reasonably priced.,"['food', 'reason', 'price', 'great']",food
The characters really make for an enjoyable experience.,"['make', 'charact', 'enjoy', 'realli', 'experi']",ambience
I would definitely recommend SEA if you like thai cuisine!,"['sea', 'definit', 'would', 'thai', 'cuisin', 'like', 'recommend']",food
"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.","['amaz', 'even', 'although', 'abl', 'visitor', 'littl', 'frequent', 'treat', 'busi', 'famili', 'rememb', 'gem', 'consist', 'vittorio', 'crew', 'year', 'host', 'alway']",service
"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.","['accomod', 'tabl', 'taiwanes', 'restuar', 'save', 'buck', 'sever', 'authent', 'eat', 'group', 'round', 'larg', 'seem', 'hop']",ambience
"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.","['say', 'even', 'husband', 'exclaim', 'fri', 'french', 'sever', 'portion', 'best', 'eat', 'could', 'fine']",food
You cannot go wrong with this place.,"['cannot', 'place', 'wrong', 'go']",anecdotes/miscellaneous
"It is the type of place to run into old friends and have a late, raucus dinner.","['raucu', 'type', 'dinner', 'old', 'run', 'late', 'place', 'friend']",anecdotes/miscellaneous
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.","['food', 'fare', 'never', 'special', 'dish', 'disappoint', 'menu', 'regular', 'delici']",food
Prices are in line.,"['price', 'line']",price
"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.","['mozz', 'chees', 'flour', 'make', 'fresh', 'tomato', 'ny', 'dough', 'pizza', 'import', 'combin', 'better', 'basil', 'one', 'sauc']",food
The food is prepared quickly and efficiently.,"['food', 'prepar', 'effici', 'quickli']",food
and for this i had to shell out a small fortune?,"['shell', 'small', 'fortun']",price
"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven.","['food', 'paneer', 'roll', 'heaven', 'tri', 'indian', 'new', 'piec']",food
The food looked very appetizing and delicious since it came on a variety of fancy plates.,"['food', 'come', 'fanci', 'varieti', 'look', 'appet', 'plat', 'sinc', 'delici']",food
Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,"['chees', 'mozzerella', 'fresh', 'plain', 'slice', 'phenomen']",food
I have tried literally every restaurant on curry row.,"['curri', 'tri', 'row', 'restaur', 'liter', 'everi']",anecdotes/miscellaneous
"The food is terrible and overall, I would have to say avoid at all costs.","['food', 'say', 'would', 'avoid', 'overal', 'terribl', 'cost']",food
"I've been to this monster sushi twice, the 46th st once, the 23rd st one a number of times.","['st', 'sushi', 'twice', 'time', 'monster', 'number', 'one', 'rd', 'th']",anecdotes/miscellaneous
"Unfortunately, the food was NOT something to get worked up about.","['food', 'someth', 'get', 'unfortun', 'work']",food
"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).","['turnov', 'food', 'e', 'fresh', 'st', 'constantli', 'pakistani', 'open', 'cabbi', 'expect', 'line', 'crosbi', 'cater', 'surprisingli']",food
I had Filet Mignon with garlic mash.,"['mignon', 'filet', 'garlic', 'mash']",food
"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.","['roast', 'pre', 'menu', 'chevr', 'creme', 'go', 'tomato', 'steak', 'frite', 'brule', 'specif', 'pm', 'soup', 'theater', 'marvel']",food
"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.","['impress', 'waitstaff', 'close', 'feat', 'attent', 'help', 'quarter', 'polit']",service
Go inside and you won't want to leave.,"['want', 'leav', 'insid', 'go']",anecdotes/miscellaneous
I loving bringing friends here - and I do so every chance I get.,"['chanc', 'bring', 'get', 'love', 'friend', 'everi']",anecdotes/miscellaneous
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.","['like', 'salad', 'super', 'arugula', 'make', 'margarit', 'person', 'come', 'size', 'want', 'howev', 'top', 'babi', 'actual', 'peter', 'bread', 'cold', 'pizza', 'begin', 'warn', 'favourit', 'prosciutto', 'tasti', 'delici']",food
"Yes, the prices are high, but I felt it was worth it.","['high', 'ye', 'worth', 'felt', 'price']",price
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.","['select', 'palat', 'bruschetta', 'stagnat', 'panini', 'larg', 'tramezzini', 'keep']",food
"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.","['waiter', 'lot', 'diner', 'go', 'despit', 'fact', 'busi', 'find', 'help', 'often', 'alway', 'way']",service
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.","['innov', 'classic', 'fare', 'genuin', 'out', 'cuisin', 'chef', 'new', 'dish', 'indian', 'heavi', 'old', 'burn', 'life', 'realli', 'restaur', 'tasti', 'give', 'without']",food
The owner truly caters to all your needs.,"['truli', 'need', 'cater', 'owner']",service
He takes real pride in his food and his business.,"['take', 'food', 'real', 'busi', 'pride']",service
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,"['restaur', 'make', 'point', 'smith', 'york', 'new', 'street', 'visit', 'saul', 'time', 'everi']",anecdotes/miscellaneous
My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,"['say', 'boyfriend', 'go', 'magnific', 'celebr', 'night', 'birthday']",anecdotes/miscellaneous
"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.","['pre', 'nice', 'go', 'prix', 'enjoy', 'meal', 'earli', 'fix', 'theater', 'montparnass', 'want']",food
"Over the years, it has always provided a pleasurable dining experience with quality food and wine.","['food', 'pleasur', 'provid', 'din', 'qualiti', 'year', 'wine', 'alway', 'experi']",food
I would go back tho.,"['tho', 'back', 'would', 'go']",anecdotes/miscellaneous
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.","['pork', 'certainli', 'chicken', 'chop', 'fri', 'touch', 'pick', 'dish', 'cute', 'help', 'group', 'order', 'menu', 'noodl', 'photobook']",food
too large for just two people but nothing was left.,"['peopl', 'two', 'larg', 'leav', 'noth']",food
I cannot imagine better Indian food in all of the city.,"['food', 'cannot', 'indian', 'imagin', 'better', 'citi']",food
Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,"['tri', 'tabl', 'close', 'littl', 'get', 'romant', 'sit', 'corner', 'booth', 'place', 'date', 'privaci', 'great']",ambience
A pleasant surprise.,"['pleasant', 'surpris']",anecdotes/miscellaneous
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,"['take', 'chees', 'face', 'manag', 'sandwich', 'open', 'basic', 'ask', 'busi', 'tell', 'elsewher']",service
If you don't mind all that noise then go to the Chart House.,"['chart', 'go', 'nois', 'hous', 'mind']",ambience
We got most of it back at home with us.,"['back', 'home', 'get', 'us']",anecdotes/miscellaneous
Get there before 7pm.,"['pm', 'get']",anecdotes/miscellaneous
very good breads as well.,"['good', 'well', 'bread']",food
"if this happens, just ask for real naan.","['happen', 'ask', 'real', 'naan']",anecdotes/miscellaneous
We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,"['ined', 'half', 'fan', 'recent', 'visit', 'squid', 'night', 'option', 'saturday', 'price']",food
"So, if yo really don't care who is sittingnext to you, which is about 2 inches away, I would say try it.","['say', 'away', 'would', 'inch', 'tri', 'sittingnext', 'realli', 'yo', 'care']",ambience
"Pizza is terrific, as is homemade pasta.","['homemad', 'pasta', 'pizza', 'terrif']",food
Definitely a neighborhood favorite.,"['favorit', 'neighborhood', 'definit']",anecdotes/miscellaneous
This is a wonderful place on all stand points especially value ofr money.,"['ofr', 'money', 'stand', 'valu', 'point', 'especi', 'wonder', 'place']",price
My first encounter happened one friday evening with a friend.,"['even', 'friend', 'happen', 'one', 'encount', 'friday', 'first']",anecdotes/miscellaneous
Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,"['exampl', 'mushroom', 'soup', 'oz', 'dollar']",price
"Service is not exactly five star, but thats not really a big deal.","['star', 'exactli', 'five', 'that', 'servic', 'realli', 'deal', 'big']",service
There are other people waiting!,"['wait', 'peopl']",service
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.","['rasberri', 'sorbet', 'delight', 'chocol', 'scallop', 'mint', 'tast', 'incred', 'begin', 'sensat', 'souffl', 'appet', 'delici']",food
OU MUST TRY THIS RESTAURANT.,"['tri', 'restaur', 'must', 'ou']",anecdotes/miscellaneous
"We left, never to return.","['never', 'return', 'leav']",anecdotes/miscellaneous
Consistently good Japanese Tapas.,"['japanes', 'consist', 'tapa', 'good']",food
No apologies during restaurant week.,"['restaur', 'apolog', 'week']",anecdotes/miscellaneous
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.","['amaz', 'fish', 'everyth', 'rice', 'seawe', 'good', 'absolut']",food
"This place started off a little iffy, but is now one of my favorite indian restaurants in NYC (and I'm indian, so I should know).","['restaur', 'nyc', 'start', 'littl', 'indian', 'favorit', 'iffi', 'know', 'one', 'place']",anecdotes/miscellaneous
They also do a great job for restaurant week.,"['also', 'week', 'job', 'restaur', 'great']",anecdotes/miscellaneous
I went to this restaurant with a woman that I met recently.,"['go', 'recent', 'meet', 'restaur', 'woman']",anecdotes/miscellaneous
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).","['amaz', 'sausag', 'uniqu', 'ice', 'fresh', 'whole', 'larg', 'pistachio', 'lamb', 'ever', 'dish', 'cream', 'best', 'biscuit', 'freshest', 'offer', 'tasti', 'shrimp', 'sardin']",food
This is where the aforementioned line was.,"['line', 'aforement']",anecdotes/miscellaneous
The food is reliable and the price is moderate.,"['food', 'reliabl', 'moder', 'price']",food
"Aside from the bearded, courdoroy blazer professor type with the NYU student he's sleeping with that week, you see a strange mix of hipsters, frat boys, Will Smith types who need to be told they are black, bitter cougars who cant understand why they arent married yet....","['strang', 'smith', 'cant', 'hipster', 'understand', 'student', 'boy', 'type', 'sleep', 'yet', 'black', 'bitter', 'see', 'need', 'nyu', 'mix', 'beard', 'frat', 'professor', 'week', 'marri', 'courdoroy', 'asid', 'arent', 'tell', 'cougar', 'blazer']",ambience
"While the ambiance and atmosphere were great, the food and service could have been a lot better.","['food', 'lot', 'atmospher', 'ambianc', 'servic', 'better', 'could', 'great']",food
We always go there on the weekends and leave extremely full and satisfied.,"['weekend', 'go', 'extrem', 'full', 'leav', 'satisfi', 'alway']",anecdotes/miscellaneous
i dont how this place is still running.,"['still', 'place', 'dont', 'run']",anecdotes/miscellaneous
The server was really cool and served us our food and drinks with a smile.,"['food', 'server', 'us', 'drink', 'cool', 'serv', 'realli', 'smile']",service
We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.,"['food', 'stumbl', 'street', 'east', 'indian', 'search', 'restaur', 'block', 'sixth']",anecdotes/miscellaneous
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","['food', 'excel', 'thai', 'go', 'great', 'sushi', 'thailand', 'planet', 'hit', 'alway', 'usual']",food
"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record.","['term', 'jason', 'track', 'short', 'excit', 'record', 'point', 'chef', 'move', 'sterl', 'naron', 'truli', 'low', 'hear']",anecdotes/miscellaneous
Excellent experience.,"['excel', 'experi']",anecdotes/miscellaneous
"Well worth the trip, close to City Hall and downtown subway stops.","['downtown', 'hall', 'trip', 'close', 'stop', 'worth', 'citi', 'well', 'subway']",anecdotes/miscellaneous
I had to share my table with a loud group of kids and the service was rude an unattentive.,"['unattent', 'share', 'rude', 'tabl', 'group', 'servic', 'kid', 'loud']",service
What more could you want?,"['could', 'want']",anecdotes/miscellaneous
"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.","['person', 'go', 'type', 'like', 'eat', 'entertain', 'place', 'great', 'scar']",anecdotes/miscellaneous
"All in all, I don't see how you can go wrong.","['see', 'wrong', 'go']",anecdotes/miscellaneous
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,"['fresh', 'tomato', 'pizza', 'skimp', 'sauc', 'good', 'sooo', 'garlic']",food
"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.","['yorki', 'decid', 'delight', 'tri', 'outdoor', 'seat', 'recent', 'perfect', 'locat', 'sinc']",ambience
"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.","['husband', 'enjoy', 'mesclun', 'cream', 'cours', 'ice', 'salmon']",food
We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,"['wait', 'would', 'minut', 'twenti', 'pm', 'tell', 'call', 'problem', 'curtain']",anecdotes/miscellaneous
The food is usually good but it certainly isn't a relaxing place to go.,"['food', 'certainli', 'go', 'relax', 'place', 'good', 'usual']",food
I'm told that it is open 24hrs which is good.,"['good', 'open', 'hr', 'tell']",anecdotes/miscellaneous
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!","['jazz', 'fabul', 'awesom', 'brunch', 'fare', 'live', 'bistro', 'friendli', 'super', 'knowledg', 'wonder', 'chilaquil', 'great', 'staff']",food
The prices were fantastic.,"['price', 'fantast']",price
What a great place!,"['place', 'great']",anecdotes/miscellaneous
"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...","['quibbl', 'bill', 'measur', 'set', 'hous', 'still', 'pour', 'liquer', 'courtesey']",food
"The table service could have been a little more attentive but as someone who also works in the service industry, I understood they were busy.","['someon', 'also', 'tabl', 'attent', 'littl', 'busi', 'understand', 'industri', 'servic', 'could', 'work']",service
"It's not mind-blowing, but to me, thai food never is and never will be.","['blow', 'food', 'thai', 'never', 'mind']",food
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","['food', 'consid', 'select', 'pork', 'belli', 'roast', 'fat', 'mouth', 'tri', 'bite', 'budget', 'melt', 'wish', 'experi', 'order', 'longer', 'good', 'well', 'though']",food
"Although, one night we went it was super cheesy, and another night it was less cheesy.","['although', 'go', 'cheesi', 'night', 'super', 'less', 'one', 'anoth']",food
"Even though it is a little loud, you don't have to yell at each other to talk.","['though', 'even', 'talk', 'yell', 'littl', 'loud']",ambience
"i've been to sapphire twice and both times the food was fine, if not good.","['food', 'twice', 'sapphir', 'time', 'good', 'fine']",food
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,"['nosiy', 'nice', 'tabl', 'close', 'enjoy', 'beauti', 'still', 'dinner', 'kinda', 'place', 'togeth']",ambience
Was surprisingly disappointed.,"['surprisingli', 'disappoint']",anecdotes/miscellaneous
I love the fact that the pizza tastes so good and is so cheap.,"['cheap', 'tast', 'pizza', 'fact', 'love', 'good']",food
Nicky the Nose at the bar is a treat.,"['nose', 'nicki', 'bar', 'treat']",service
I went to Ruby Foo's after work with a group of 6.,"['rubi', 'go', 'group', 'foo', 'work']",anecdotes/miscellaneous
I'm amazed we haven't been kicked out of this place yet.,"['amaz', 'kick', 'place', 'yet']",anecdotes/miscellaneous
"Service was prompt, friendly and great.","['prompt', 'friendli', 'servic', 'great']",service
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.","['chop', 'oil', 'nice', 'lamb', 'salad', 'lemon', 'virgnin', 'dress', 'realli', 'eat', 'extra', 'oliv', 'delici']",food
The sushi was awful!,"['sushi', 'aw']",food
Katz's has been a NYC original for over 100 years.,"['origin', 'year', 'katz', 'nyc']",anecdotes/miscellaneous
You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,"['excel', 'lexington', 'dainti', 'meal', 'mani', 'get', 'indian', 'cost', 'one', 'dish', 'nearbi', 'restaur', 'avenu']",price
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.","['beer', 'buttah', 'cold', 'pastrami', 'sandwich', 'wash', 'pleasur', 'like', 'pickl', 'ici', 'experi']",food
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,"['gener', 'oil', 'third', 'truffl', 'make', 'wild', 'plain', 'nothingon', 'pizza', 'middl', 'soggi', 'drench', 'fornini', 'mushroom', 'rest', 'creativ']",food
"Late nite omelletes are not good here, there is no variety!","['omellet', 'varieti', 'nite', 'late', 'good']",food
Everything at Sala Thai is tasty and well-portioned.,"['thai', 'everyth', 'tasti', 'portion', 'sala', 'well']",food
"After all that, they complained to me about the small tip.","['small', 'tip', 'complain']",service
It's a great place to pick up a cheap lunch or dinner.,"['lunch', 'cheap', 'pick', 'dinner', 'place', 'great']",price
"Behind this counter, two men are squeezed in.","['behind', 'squeez', 'counter', 'two', 'men']",ambience
Great find!!!,"['find', 'great']",anecdotes/miscellaneous
"If only they delivered, they'd make a mint!","['deliv', 'mint', 'make']",anecdotes/miscellaneous
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.","['need', 'mizu', 'whenev', 'fish', 'sushi', 'fix', 'servic', 'qualiti', 'great']",food
"Our waitress was sweet and accomodating, not overbearing.","['accomod', 'overbear', 'sweet', 'waitress']",service
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,"['see', 'even', 'wait', 'go', 'tabl', 'wife', 'mani', 'empti', 'sigh', 'reserv', 'could', 'though']",service
I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,"['take', 'want', 'food', 'even', 'go', 'eat', 'everyon', 'ant', 'realli', 'tell', 'disappoint']",anecdotes/miscellaneous
The website and rating makes this place look wonderful but in reality it was very disappointing.,"['rat', 'make', 'disappoint', 'look', 'realiti', 'wonder', 'place', 'websit']",ambience
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.","['food', 'fresh', 'art', 'do', 'everyth', 'prepar', 'despit', 'slightli', 'perfect', 'menu', 'limit', 'ultra', 'work']",food
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,"['sidewalk', 'away', 'even', 'go', 'outdoor', 'world', 'atmospher', 'watch', 'cool', 'sit', 'wonder', 'feet', 'avenu', 'th']",ambience
"A large is $20, and toppings are about $3 each.","['top', 'larg']",price
"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.","['stop', 'sure', 'town', 'event', 'place', 'part']",anecdotes/miscellaneous
I definitely wouldn't go back.,"['back', 'definit', 'go']",anecdotes/miscellaneous
It is not worth for that bucks.,"['worth', 'buck']",price
brick oven gallery is My pick for best pizza restaurant anywhere.,"['galleri', 'oven', 'anywher', 'pizza', 'pick', 'brick', 'best', 'restaur']",anecdotes/miscellaneous
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"['food', 'even', 'great', 'add', 'begin', 'servic', 'price', 'reason']",food
"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic.","['food', 'thai', 'nyc', 'mani', 'peopl', 'like', 'quit', 'aunthent', 'arent', 'authent', 'may', 'seem', 'place']",food
"Growing up in NY, I have eaten my share of bagels.","['share', 'ny', 'bagel', 'grow', 'eat']",anecdotes/miscellaneous
"Oh, don't even let me start with how expensive the bills were!","['expens', 'even', 'bill', 'start', 'oh', 'let']",price
A hearty two thumbs up!,"['two', 'hearti', 'thumb']",anecdotes/miscellaneous
The scallion pancakes and fried dumplings were nothing out of the ordinary.,"['fri', 'pancak', 'dumpl', 'scallion', 'ordinari', 'noth']",food
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!","['fabul', 'mouth', 'steak', 'water', 'salad', 'pasta', 'appet', 'delici']",food
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.","['tabl', 'receiv', 'rest', 'give', 'besid', 'bill', 'seat', 'twice', 'one', 'restaur', 'minut', 'promis', 'serv', 'three', 'actual', 'charg', 'undercook', 'patron', 'dish', 'order', 'time']",service
Service is top notch.,"['top', 'notch', 'servic']",service
The food now is inconsistent.,"['food', 'inconsist']",food
All pretty good.,"['good', 'pretti']",anecdotes/miscellaneous
"You can also special order any kind of dumpling,etc.","['kind', 'also', 'etc', 'special', 'dumpl', 'order']",anecdotes/miscellaneous
you guys rock.,"['rock', 'guy']",anecdotes/miscellaneous
Chance is a joke.,"['chanc', 'joke']",anecdotes/miscellaneous
I was pretty much full after our fondue appetizer.,"['much', 'appet', 'pretti', 'full', 'fondu']",food
BE CAREFUL before you request extra spice.,"['spice', 'request', 'extra', 'care']",food
The octopus eaters were floored by the Octopus salad.,"['salad', 'octopu', 'floor', 'eater']",food
We thought that this place is using too much of MSG cooking in the foods.,"['food', 'use', 'msg', 'much', 'cook', 'think', 'place']",food
I was at Rao's last Wed.,"['last', 'wed', 'rao']",anecdotes/miscellaneous
And the Tom Kha soup was pathetic.,"['soup', 'pathet', 'kha', 'tom']",food
I started out with a Bombay beer which was big enough for two.,"['beer', 'enough', 'bombay', 'start', 'two', 'big']",food
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","['side', 'semi', 'privat', 'hall', 'eye', 'both', 'sever', 'din', 'pleas', 'vibrant', 'decor', 'date', 'great', 'right']",ambience
Service was quick.,"['quick', 'servic']",service
Tends to turn people away.,"['away', 'turn', 'peopl', 'tend']",anecdotes/miscellaneous
We thought this a prelude to what the evening will be like.,"['prelud', 'even', 'think', 'like']",anecdotes/miscellaneous
"I was turned on to this restaurant by a fellow foodie friend of mine, and have been going back regularly ever since.","['fellow', 'go', 'foodi', 'ever', 'mine', 'regularli', 'turn', 'back', 'sinc', 'restaur', 'friend']",anecdotes/miscellaneous
Drawbacks: service is slow and they don't toast!,"['drawback', 'slow', 'toast', 'servic']",service
Went there for an office lunch.,"['offic', 'lunch', 'go']",anecdotes/miscellaneous
I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!,"['heartland', 'never', 'breweri', 'year', 'disappoint']",anecdotes/miscellaneous
"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.","['zucchero', 'decid', 'go', 'tri', 'pomodori', 'everytim', 'get', 'angri', 'ue', 'place', 'anoth']",anecdotes/miscellaneous
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,"['forgett', 'chettinad', 'excel', 'sweet', 'lamb', 'lassi', 'naan', 'garlic', 'rasamalai']",food
"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.","['food', 'lyle', 'innov', 'classic', 'fare', 'make', 'return', 'year', 'chef', 'new', 'york', 'us', 'bistro', 'follow', 'around', 'remain']",food
The best thing I tasted were the lambchops.,"['thing', 'tast', 'lambchop', 'best']",food
it's delicious!,['delici'],food
The spicy tuna and salmon are the best we've ever had.,"['tuna', 'spici', 'ever', 'best', 'salmon']",food
"Even though its good seafood, the prices are too high.","['high', 'even', 'seafood', 'price', 'good', 'though']",food
"In addition, the food is very good and the prices are reasonable.","['food', 'addit', 'price', 'good', 'reason']",food
"Upon entering, we were greeted by the owners, Steven and Frederick, who went out of their way to be more than gracious hosts.","['enter', 'greet', 'owner', 'go', 'upon', 'frederick', 'graciou', 'host', 'steven', 'way']",service
"If you live outside the neighborhood, don't bother!","['live', 'bother', 'neighborhood', 'outsid']",anecdotes/miscellaneous
Been going here since it opened have seen the quality value decrease considerably.,"['see', 'go', 'open', 'valu', 'decreas', 'consider', 'qualiti', 'sinc']",anecdotes/miscellaneous
"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.","['select', 'meat', 'although', 'vegetarian', 'dish', 'adorn', 'still', 'choic', 'number', 'friendli', 'larg']",food
I never had anything I didn't like here.,"['never', 'anyth', 'like']",anecdotes/miscellaneous
Reasonable prices.,"['price', 'reason']",price
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,"['offerng', 'tabl', 'bring', 'complementari', 'dessert', 'us', 'celebr', 'notch', 'servic', 'bouch', 'small', 'give', 'amus']",service
"Try the crunchy tuna, it is to die for.","['tri', 'tuna', 'die', 'crunchi']",food
It won't break the bank but I also wouldnt come back for the food.,"['food', 'also', 'come', 'back', 'bank', 'wouldnt', 'break']",food
"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.","['restaur', 'midtown', 'becom', 'sushi', 'favorit', 'gem', 'citi', 'instantli', 'one']",anecdotes/miscellaneous
I've been to Joya twice and I will never go again.,"['never', 'go', 'joya', 'twice']",anecdotes/miscellaneous
So rushing us out was absolutely unnecessary!,"['rush', 'unnecessari', 'absolut', 'us']",anecdotes/miscellaneous
However it is the ONLY Taiwanese restaurant in town.,"['taiwanes', 'howev', 'restaur', 'town']",anecdotes/miscellaneous
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,"['effect', 'lot', 'kind', 'type', 'special', 'live', 'entertain', 'fun', 'disney']",ambience
"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side).","['interest', 'side', 'tradit', 'go', 'tri', 'sushi', 'gari', 'east', 'perfect', 'look', 'combin']",food
"No refills on fountain drinks, though.","['though', 'fountain', 'refil', 'drink']",food
Wow over 100 beers to choose from.,"['wow', 'beer', 'choos']",food
Be careful of portions - they're HUGE.,"['portion', 'huge', 'care']",food
"The Steak Tartare is a great bet, they fix it for you at the table.","['bet', 'steak', 'tabl', 'fix', 'tartar', 'great']",food
My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal.,"['apt', 'make', 'chang', 'like', 'crab', 'order', 'croquett', 'big', 'happen', 'time', 'deal', 'first', 'happi', 'without']",service
Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening.,"['waiter', 'even', 'entertain', 'celebr', 'group', 'super', 'larg', 'happi', 'great']",service
Did I mention the wine?,"['wine', 'mention']",food
"Plus, on Wednesday nights the house wine is unlimited!","['hous', 'plu', 'wednesday', 'unlimit', 'night', 'wine']",food
