lemmas,bigrams
"['money', 'want', 'go', 'save']",n't go;
"['mushroom', 'get', 'friend', 'better', 'pizza', 'tast']",
"['basket', 'half', 'spici', 'could', 'boyfriend', 'fish', 'serv', 'paella', 'chip', 'fri', 'eater', 'least', 'classic', 'cod', 'piec', 'fill', 'big', 'eat']",very filling;i 'm;big eater;only eat;eat half;classic fish;big serving;
"['like', 'lousi', 'ruin', 'nice', 'servic', 'pink', 'poni', 'shame', 'conveni', 'place']",convenient place;so ruined;lousy service;
"['time', 'first', 'citysearch', 'right', 'call']",first time;
"['pass', 'calamari']",
"['mushroom', 'pasta', 'tagliatel', 'porcini', 'tasteless', 'seafood', 'special']",pasta special;special was;so was;
"['spici', 'shrimp', 'salt', 'wonton', 'tri', 'pepper']",
"['portion', 'larg', 'food', 'realli']",really large;
"['fri', 'yummi']",
"['raw', 'staff', 'prompt', 'bar', 'servic', 'attent', 'friendli', 'inform']",informative staff;very attentive;prompt raw;raw bar;
"['taiwanes', 'food', 'ny', 'best']",best taiwanese;taiwanese food;
"['hand', 'worst', 'place', 'mani', 'nyc', 'around', 'eat', 'pizza']",many pizza;pizza places;
"['stop', 'food', 'place', 'great']",great stop;great food;
"['best', 'pasta', 'lasagna', 'citi', 'fantast', 'homemad']",
[],
['fantast'],
"['finish', 'dri', 'first', 'piec', 'even', 'disgust']",n't even;even finish;first piece;
"['date', 'first', 'highli', 'recommend']",highly recommended;first date;
"['laugh', 'leav', 'percent', 'feel', 'tip', 'dessert', 'menu', 'offer', 'gener', 'us', 'final']",finally offered;dessert menu;i feel;
"['high', 'get', 'price', 'way']",were way;
"['hot', 'sichuan', 'independ', 'peopl', 'becom', 'biggest', 'provinc', 'citi', 'die', 'chongq', 'pot']",hot pot;biggest city;now became;independent province;
"['skip', 'eurotrashi', 'check', 'snooti', 'baroanda', 'street', 'place', 'expens']",
"['skip', 'one', 'locat', 'soho', 'go']",
"['time', 'staff', 'friend', 'ignor', 'entir']",entire time;
"['anyon', 'carri', 'yet', 'pair', 'convers', 'rude', 'recommend', 'interest', 'servic', 'would', 'never', 'kind']",yet paired;such rude;rude service;never recommend;anyone interested;
"['spend', 'three', 'enjoy', 'hour', 'sunday', 'four', 'girlfriend', 'go', 'areo', 'afternoon']",i went;sunday afternoon;enjoyable hours;
"['ladi', 'dj', 'outrag', 'hous', 'request', 'night', 'moreov', 'music', 'good', 'saturday', 'take', 'tast']",in-house lady;saturday nights;outrageously good;good taste;takes requests;
"['need', 'three', 'full', 'least', 'roll']",
"['anyon', 'disappoint', 'restaur', 'ever', 'huge', 'din', 'thai']",ever dined;huge disappointment;
"['uniqu', 'best', 'break', 'amaz', 'simpli', 'bank', 'tasti']",simply amazing;n't break;
"['list', 'reason', 'price', 'sara', 'wine', 'great']",great wine;wine list;
"['hot', 'dog', 'cold', 'stale', 'bun', 'middl']",hot dogs;
"['excel', 'though', 'extrem', 'either', 'cheap', 'food', 'expens']",n't cheap;not extremely;extremely expensive;
"['beef', 'well', 'soup', 'good', 'noodl']",beef noodle;noodle soup;as well;
"['get', 'bad', 'read', 'place', 'review', 'sad']",so sad;bad reviews;
"['deliveri', 'servic', 'great']",
"['authent', 'cuisin', 'embrac', 'beauti', 'overwhelm', 'truli', 'palat', 'flavor', 'thai', 'food', 'dazzl']",truly embracing;authentic thai;
"['reciev', 'prompt', 'servic', 'smile']",prompt service;
"['like', 'vt', 'pizza', 'make', 'good', 'god', 'food', 'pray']",good pizza;
"['delight', 'place', 'quiet']",
"['bene', 'molto']",molto bene;
"['find', 'outsid', 'best', 'chinatown', 'master']",.the best;best i;chinatown masters;
['amaz'],
"['place', 'avoid']",
"['diamond', 'delici', 'tomato', 'perfect', 'herb', 'balanc', 'food', 'homemad', 'rough']",perfect balance;
"['tri', 'must']",
"['like', 'back', 'much', 'bring', 'go', 'food']",as much;n't bring;
"['like', 'chees', 'strip', 'do', 'partli', 'look', 'still', 'shred']",shredded cheese;partly done;
"['consid', 'especi', 'west', 'villag', 'price', 'ambienc', 'great']",especially great;great considering;
"['soup', 'pretti', 'good']",pretty good;
"['get', 'reserv', 'week', 'top', 'nyc', 'easi', 'place', 'notic']",so easy;top place;
"['mushroom', 'chef', 'without', 'consomm', 'root', 'enjoy', 'humbl', 'better', 'accomplish', 'never', 'fat', 'veget']",never better;better enjoyed;humble root;
"['serv', 'mike', 'roth', 'tri', 'go', 'great']",
"['disappoint', 'month', 'christma', 'visit', 'huge', 'week', 'return', 'base', 'ago']",hugely disappointed;
"['friend', 'go', 'reccomend']",
"['get', 'ambianc', 'agre', 'previou', 'staff', 'rude', 'servic', 'wait', 'look', 'food', 'right', 'review']",i agree;previous reviews;wait staff;very rude;
"['murray', 'live', 'ess', 'bagel', 'conveni', 'west', 'go', 'love', 'often', 'side']",i love;love ess-a-bagel;i live;west side;often go;
"['fresh', 'get', 'shabu', 'beef', 'dinner', 'alway']",always get;shabu-shabu dinner;always fresh;
"['cold', 'chees', 'deliv', 'melt', 'even', 'fulli', 'pizza']",n't even;even fully;fully melted;
"['surpris', 'visit', 'first', 'night', 'sunday', 'good', 'food']",very surprised;first visit;sunday night;
"['restaur', 'staff', 'utter', 'vietnames', 'trang', 'come', 'nha', 'slow', 'wait', 'notori', 'delici', 'horribl', 'pho', 'vegtabl', 'quick', 'fresh', 'decor', 'best', 'lack', 'ever', 'one', 'meal', 'comfort']",utter lack;horribly slow;slow wait;horribly quick;quick meals;best vietnamese;vietnamese restaurants;ever been;very fresh;fresh vegtables;
"['hand', 'easili', 'find', 'ambianc', 'restaur', 'food', 'qualiti', 'quantiti', 'choic', 'outshin', 'give', 'presentaion', 'servic', 'tast', 'alain', 'ducass', 'hundr', 'par', 'fool']",other hand;not fooled;find hundreds;
"['go', 'back', 'definit']",definitely go;
"['meet', 'neighborhood', 'also', 'live', 'friend', 'scene', 'bar', 'place', 'pizza', 'promis']",i live;here not;not only;pizza place;
"['day', 'go', 'way']",
"['could', 'best', 'peopl', 'sorri', 'chart', 'would', 'nyc', 'place', 'pizza', 'rate', 'unfortun']",
"['food', 'amaz']",
"['may', 'come', 'food', 'spici', 'along', 'year', 'float', 'similar', 'san', 'home', 'last', 'oil', 'skew', 'venu', 'bite', 'review', 'tasti']",not been;been home;similar venues;
"['small', 'usual', 'restaur', 'frantic', 'ambiti', 'seem', 'servic', 'due', 'good', 'overli', 'sauc', 'still', 'portion', 'ined', 'popular']",now very;very small;usually inedible;still good;
"['manhattan', 'well', 'eat', 'price', 'cannot']",not eat;
"['like', 'pizza', 'owner', 'tri', 'friendli', 'go', 'guy', 'great']",very friendly;great guy;
"['atmospher', 'great']",
"['would', 'group', 'kid', 'love', 'fun', 'experi']",very fun;fun experience;
"['restaur', 'recogn', 'uw', 'manag', 'staff', 'need', 'glorifi', 'overpric', 'absurdli', 'servic', 'mani', 'good', 'wait', 'diner', 'work', 'care', 'food', 'arrog', 'clumsi']",so many;many good;good restaurants;n't need;overpriced food;absurdly arrogant;arrogant wait-staff;n't recognize;glorified diner;clumsy service;n't care;
"['rise', 'restaur', 'sushi', 'tend', 'judg', 'heavenli', 'urchin', 'sea']",i tend;
"['time', 'forgiv', 'littl', 'servic', 'arriv', 'scatti', 'food']",little scatty;
"['soggi', 'fresh', 'hot', 'pip', 'includ', 'serv', 'nice', 'salad', 'bruscetta', 'dish', 'green', 'mix', 'kitchen', 'iceberg', 'bite']",bit soggy;nice mix;not iceberg;
"['wonder', 'pasti', 'evalu', 'simpli', 'term']",simply wonderful;
"['keep', 'atmospher', 'greatest', 'suppos', 'price']",
"['addit', 'pickl', 'great']",great addition;
"['chines', 'chicken', 'place', 'favorit', 'gener', 'food', 'tao']",favorite chinese;chinese food;general tao;
"['tri', 'appet', 'shrimp', 'must']",
"['best', 'cuisin', 'alway', 'servic', 'attent', 'around', 'charm']",not only;only is;always been;
"['terribl', 'feel', 'though', 'comfort', 'suit', 'fill', 'realli', 'never']",never really;really feel;terribly comfortable;
"['symphoni', 'product', 'food', 'sublim', 'part', 'alot', 'fun', 'experi']",experience.the food;most part;
"['waiter', 'tend', 'peopl', 'forget', 'two', 'one', 'troubl', 'complet', 'portion', 'share', 'drink', 'entre', 'food', 'tini']",forget drinks;so tiny;have trouble;
"['food', 'new', 'year', 'york', 'miss', 'nyc', 'roxi', 'go', 'wife', 'expens']",n't miss;miss roxy;s food;new york;
"['like', 'countrysid', 'fill', 'romant', 'transport', 'italian', 'antiqu']",italian countryside;very romantic;
"['like', 'cold', 'dish', 'appet', 'way', 'taiwan', 'grow', 'rememb', 'tast']",cold appetizer;way i;i remember;
"['see', 'go']",just go;
"['restaur', 'seat', 'first', 'wait', 'bar', 'minut', 'pack']",
"['decor', 'fine', 'interest', 'win', 'servic', 'good', 'select', 'fun']",interesting selection;good wines;
['hate'],i hate;
"['reserv', 'max', 'wait', 'drink', 'bar', 'minut']",so have;
"['parmesean', 'whether', 'vinegar', 'itali', 'balsam', 'souffl', 'lamb', 'one', 'northern', 'porcini', 'glaze', 'bite', 'transport', 'sure']",parmesean porcini;lamb glazed;balsamic vinegar;surely be;northern italy;
"['salli', 'place', 'awesom']",
"['cuisin', 'place', 'gourmet', 'indian', 'food']",indian cuisine;
"['chines', 'final', 'restaur', 'reliabl']",reliable chinese;chinese restaurant;
['get'],
"['like', 'thing', 'loud', 'hat', 'bar', 'pub', 'wife', 'felt']",so loud;
"['street', 'amaz', 'even', 'happen', 'howev', 'place']",just so;so happens;even more;more amazing;amazing place;
"['corn', 'beef', 'go', 'sandwich', 'katz', 'plenti', 'good', 'charm', 'place']",are plenty;good corned;corned beef;
"['tabl', 'look', 'sort', 'order', 'perrrrrrrrrfect', 'next', 'wish', 'howev', 'pizza']",table next;ordered pizza;looked perrrrrrrrrfect;
"['intermedi', 'price', 'upper', 'rang']",upper intermediate;intermediate range;
"['slice', 'inexpertli', 'adequ', 'fish']",inexpertly sliced;
"['weeknight', 'recommend', 'order']",i recommend;
"['find', 'small', 'outsid', 'restaur', 'time', 'new', 'squar', 'spend', 'half', 'live', 'york', 'better', 'amount', 'citi', 'food']",new york;better food;small restaurants;
"['whole', 'oliv', 'lox', 'chees', 'cream', 'everyth', 'bagel', 'wheat', 'tri', 'spread']",olive cream;lox spread;whole wheat;
"['leav', 'nobu', 'feel', 'full', 'satisfi', 'definit', 'deal', 'sure', 'great']",not nobu;sure is;great deal;leave feeling;feeling satisfied;
"['make', 'excus', 'leav', 'husband']",
"['offens', 'spici']",very spicy;not offensive;
"['pleasant', 'disappoint', 'per', 'tabl', 'extrem', 'door', 'one', 'server', 'servic', 'arriv', 'almost', 'attent', 'second']",n't disappoint;second i;extremely pleasant;
"['neighborhood', 'morn', 'sinc', 'think', 'know', 'ever', 'blast', 'door', 'loud', 'resid', 'respect', 'next', 'till', 'three', 'everi', 'weekend', 'music', 'cabaret', 'open', 'summer']",n't know;cabaret next;next door;loud music;
"['also', 'fish', 'ration', 'rice', 'good', 'tri', 'overpack']",fish ration;also good;n't try;
"['top', 'chees', 'shred', 'use']",shredded cheese;
"['middl', 'chinatown', 'locat']",
"['reason', 'selecion', 'win', 'good', 'food', 'price', 'great']",good selecion;reasonable prices;
"['chef', 'like', 'ottimo', 'home', 'salvator', 'esposito', 'eat']",
"['katz', 'ny', 'deli', 'experi', 'great']",great ny;ny experience;
['check'],
"['likeabl', 'prompt', 'staff', 'posit', 'wait', 'knowledg']",only positive;positive was;wait staff;was prompt;
"['higher', 'reccommend', 'pizza', 'godmoth']",n't reccommend;
"['dish', 'almost', 'vegetarian', 'great']",
"['eastsid', 'cuisin', 'impress', 'upper', 'low', 'thai', 'authent', 'key']",very impressed;low-key upper;upper eastsider;authentically thai;thai cuisine;
"['go', 'would', 'pay']",n't have;
"['reason', 'price', 'locat']",very reasonable;
"['okay', 'food', 'price', 'mediocr']",here are;
"['like', 'also', 'complet', 'friend', 'opposit', 'look', 'suppos', 'food', 'tast']",complete opposite;
"['could', 'order', 'lime', 'concoct', 'crab', 'cocktail', 'juic', 'soak', 'tast']",lime juice;
"['like', 'show', 'menu', 'would', 'rush', 'item', 'tri', 'return']",other menu;n't have;
"['time', 'food', 'alway', 'servic', 'mani', 'place', 'wine', 'great']",place many;many times;always have;great food;
"['time', 'dessert', 'next', 'room', 'hope', 'save']",hopefully next;next time;save room;
"['best', 'excel', 'everyth', 'mean', 'alain', 'ducass']",i mean;mean everything;
"['fairli', 'pizza', 'nice', 'dinner', 'sit', 'low', 'good', 'cheap', 'typic', 'joint', 'key']",typical pizza;low key;fairly cheap;cheap nice;nice sit;
"['corn', 'beef', 'mouth', 'melt', 'tender']",corned beef;was tender;
['go'],
"['best', 'chicken', 'ever', 'pad', 'tai']",best chicken;ever had;
"['tabl', 'even', 'hour', 'total']",n't even;
"['eat', 'cannot', 'sushi', 'beat']",eat sushi;not be;
"['sinc', 'discov', 'ever', 'first', 'choic']",first choice;
"['creat', 'choic', 'differ']",different choices;
"['fresh', 'ambianc', 'fish', 'serv', 'avenu', 'locat', 'south', 'servic', 'park', 'prime', 'trendi', 'friendli', 'haru', 'modern']",very fresh;fresh fish;modern ambiance;prime location;friendly service;
"['month', 'terrif', 'seat', 'outdoor', 'winter', 'friendli', 'warm', 'warmer']",terrific outdoor;warmer months;
"['lanterna', 'spend', 'extens', 'enjoy', 'fire', 'liter', 'hour', 'drink', 'romant', 'wine', 'ambienc']",very romantic;romantic fires;literally spent;spent hours;drinking wine;extensive wine;
"['get', 'tipsi', 'littl', 'night', 'girlfriend', 'saturday', 'sake']",little tipsy;saturday nights;
"['write', 'bad', 'could', 'want', 'ever', 'one', 'dumpl', 'almost', 'would', 'go', 'review']",almost wanted;bad review;ever go;
"['post', 'minnow', 'live', 'slope', 'read', 'alway', 'despit', 'park', 'skeptic', 'go']",always skeptical;park slope;
"['back', 'love', 'soon']",back soon;
"['crowd', 'nice', 'loud', 'alway', 'never']",nice crowd;
"['raw', 'salmon', 'complet', 'friend', 'turkey', 'burger', 'cook']",not cooked;completely raw;
"['bare', 'spotti', 'servic', 'sometim', 'realli', 'friendli']",sometimes really;really friendly;sometimes barely;barely there;
"['decor', 'distract', 'noth', 'commend', 'minimalist', 'clean']",
"['invent', 'delici', 'drink', 'classi']",very inventive;
"['servic', 'food', 'price', 'great']",great food;great prices;great service;
"['food', 'chines', 'corner', 'takeout']",corner chinese;chinese food;
"['slice', 'margheritta', 'especi', 'awsom', 'pizza']",awsome pizza;
"['food', 'less', 'still', 'averag', 'pretens', 'joya', 'lot', 'howev', 'thai', 'place']",lot less;less pretension;still above-average;
"['com', 'husband', 'well', 'read', 'hobokeni', 'eat', 'review']",i ate;reviews here;here as;as well;
"['regular', 'regret', 'order', 'menu', 'would', 'tri']",regular menu;not regret;
"['tabl', 'reserv', 'anywher', 'say', 'tell', 'us', 'sit']",
"['eel', 'main', 'vs', 'get', 'uni', 'california', 'good', 'comparison', 'sea', 'freshwat', 'tast']",good taste;
"['mussel', 'best', 'ive', 'lox', 'ever', 'start', 'cod', 'trout', 'dinner']",best ive;ever had;
"['chicken', 'crispi', 'though', 'us']",
['awsom'],
"['food', 'great']",
"['like', 'vegetarian', 'peopl', 'even', 'lot', 'varieti', 'eat']",
"['meatbal', 'wonder', 'salad', 'recommend', 'meal', 'start', 'capres', 'bean', 'toast']",i recommend;caprese salad;wonderful start;
"['place', 'incred', 'tini']",incredibly tiny;
"['sure', 'go', 'back', 'definet']",definetely go;back again;
"['much', 'complain', 'like', 'atmospher']",n't complain;so much;
"['time', 'favorit', 'one']",all-time favorite;
"['tabl', 'realiti', 'lobbi', 'reserv', 'maxim', 'phone', 'realloc', 'take', 'diner', 'wait', 'potenti', 'still']",potential diners;still taking;taking phone;reallocating tables;
"['bread', 'pita', 'especi', 'yummi', 'alway', 'tapa', 'good', 'warm', 'wine']",always good;always yummy;warm pita;
"['food', 'get', 'seat', 'explain', 'menu', 'servic', 'everyth', 'realli', 'cheap', 'waitress', 'price', 'great']",explain everything;really cheap;
"['amazingli', 'place', 'bad']",amazingly bad;
"['hand', 'compar', 'restaur', 'town', 'shabu', 'win', 'around', 'place']",other shabu;shabu restaurants;
"['get', 'worst', 'sever', 'sum', 'place', 'dim']",several places;
"['place', 'love']",i love;
"['fastest', 'best', 'varieti', 'deliveri', 'freshest']",best variety;fastest delivery;
"['food', 'terrif', 'class', 'st', 'servic', 'volar', 'go']",terrific food;
"['seat', 'custom', 'empti', 'someon', 'seem', 'alway', 'super', 'take', 'servic', 'essenc', 'trendi', 'deem']",empty seat;
"['without', 'time', 'dinner', 'hour', 'almost', 'take', 'lag']",lag time;
"['restaur', 'peopl', 'pretti', 'loud', 'obnoxi']",pretty obnoxious;
"['dri', 'sandwich', 'overpric', 'tasteless', 'way']",
"['kind', 'sometim', 'problem', 'affair']",
"['jersey', 'better', 'way', 'deli', 'price']",jersey deli;
"['fri', 'rice', 'realli', 'good']",fried rice;really good;
"['enthusiast', 'manag', 'staff', 'excel', 'well', 'attend', 'especi', 'toni', 'make', 'suggest', 'menu', 'select', 'gaskin']",well attended;enthusiastic staff;manager tony;tony gaskin;excellent suggestions;
"['make', 'uncomfort', 'experi', 'din']",dining experience;experience uncomfortable;
['steal'],
"['restaur', 'comment', 'internet', 'go', 'base', 'prior']",prior internet;
"['tabl', 'aanoth', 'serv', 'eventhough', 'away', 'much', 'next', 'stay', 'us', 'still', 'longer', 'walk']",still stay;table next;were serves;there much;much longer;
"['door', 'front', 'next', 'close', 'coat', 'eat', 'parti']",front doors;
"['friendli', 'servic', 'invit', 'restaur']",very inviting;inviting restaurant;friendly service;
"['pleasant', 'back', 'see', 'area', 'herb', 'garden', 'sit', 'person']",back garden;sitting area;very pleasant;personal herb;
"['two', 'differ']",
"['sate', 'stomach', 'back', 'homesick', 'crave', 'go']",only sate;homesick stomach;
"['decent', 'unless', 'pound', 'restaur', 'food', 'area', 'capabl', 'devoid', 'sandwich', 'pastrami', 'katz', 'mexican', 'deli', 'good', 'eat', 'french', 'suppli']",good french;french restaurant;decent restaurants;mexican food;capable restaurants;
"['disappoint', 'restaur']",very disappointed;
"['fairli', 'make', 'alway', 'price', 'drink', 'select', 'welll', 'wine']",always welll;welll made;wine selection;fairly priced;
"['fresh', 'also', 'hous', 'salad', 'share']",also had;
"['amaz', 'ceil']",
"['celebr', 'th', 'anniversari', 'nyc', 'wife']",nyc celebrating;30th anniversary;
"['glad', 'place', 'introduc', 'ny', 'gem', 'rare']",glad i;rare gem;
"['culinari', 'nightmar', 'tabl', 'check', 'give', 'knock', 'conclus', 'glass', 'water']",culinary nightmare;
"['small', 'area', 'good', 'food', 'french', 'feat']",small feat;good french;french food;
"['space', 'small', 'cramp', 'loud', 'live', 'night', 'jazz', 'music', 'bite']",too small;live music;
"['averag', 'food', 'tasti']",
"['come', 'jersey', 'new', 'kinoko', 'eat']",new jersey;
"['get', 'fine', 'establish', 'up', 'big', 'wong']",big wong;big ups;fine establishment;
"['back', 'never']",never be;
"['small', 'dessert', 'entre', 'inspir', 'bland']",was bland;not inspired;
"['highli', 'recommend']",highly recommend;
"['stroller', 'tini', 'famili', 'oh']",too tiny;
"['new', 'see', 'staff', 'york', 'friendliest']",new york;
"['decent', 'food', 'great', 'water', 'much', 'salad', 'eye', 'start', 'except', 'lemon', 'pepper']",so much;much pepper;here was;not great;
"['less', 'asthet', 'lad', 'variou', 'pleas', 'place', 'dish', 'paper', 'nar', 'better', 'good', 'pad', 'look', 'thai', 'food']",lad nar;various other;other dishes;i 've;better thai;thai food;less asthetically;asthetically pleasing;pleasing places;
"['delici', 'cold', 'front', 'door', 'go', 'day', 'sit', 'food', 'price', 'great']",delicious food;great price;not go;cold day;front door;
"['hot', 'spici', 'fish', 'chicken', 'sourc', 'menu', 'fillet', 'special', 'bean', 'pick', 'guizhou']",hot bean;fish fillet;special menu;
"['decent', 'quit', 'exist', 'even', 'impress', 'chinatown', 'overal', 'still', 'place', 'price']",i 'm;still impressed;even exists;quite decent;then again;
"['part', 'restaur', 'warm', 'admittedli', 'night', 'insid', 'kitchen', 'charm', 'rather', 'open']",rather warm;open kitchen;is part;
"['old', 'love', 'six', 'year']",year old;old loved;
"['littl', 'pizza', 'soggi']",little soggy;
"['bhelpuri', 'bombay', 'style', 'sevpuri', 'famou', 'well', 'chaat', 'inlud', 'samosa', 'indian', 'appet', 'scrumptiou', 'food', 'great']",inludes famous;famous scrumptious;scrumptious bombay;chaat such;as well;other great;great indian;indian appetizers;
"['mai', 'curri', 'singapor', 'flavor', 'fun', 'whatsoev']",
"['manag', 'complet', 'problem', 'incompet']",only problem;complete incompetent;
"['list', 'interest', 'mani', 'good', 'valu', 'wine']",wine list;many good;good values;
['murray'],n't do;
"['lousi', 'pay', 'mad', 'still', 'food']",still mad;lousy food;
"['thursday', 'regular', 'restaur', 'locat', 'night', 'dinner', 'use']",regular thursday;
"['food', 'restaur', 'abroad', 'indian', 'good', 'use', 'definit', 'go']",definite go;good indian;indian restaurant;
"['yet', 'cozi', 'moshpher', 'compact', 'thr', 'modern']",
"['far', 'pizza', 'manhattan', 'best']",best pizza;
"['decent', 'cute', 'terribl', 'nolita', 'hangout', 'though', 'littl', 'servic', 'dank', 'bite', 'thai', 'food']",decent thai;bit dank;little nolita;nolita hangout;service terrible;
"['snob', 'peopl', 'east', 'awar', 'seem', 'upper', 'typic', 'eat', 'side']",most people;there seem;typical upper;upper east;east side;so be;
"['waiter', 'hand', 'pour', 'actual', 'away', 'water', 'walk']",actually poured;poured water;
"['fresh', 'mostli', 'prepar', 'well', 'make', 'scratch', 'food']",mostly made;well prepared;
"['bill', 'add', 'wors', 'erron']",erroneously added;
"['cold', 'enjoy']",too cold;
"['reserv', 'tip', 'expens', 'stuff', 'annoy']",more reservations;expensive tips;annoying stuff;
"['tri', 'sea', 'bass']",
"['get', 'sushi', 'qualiti', 'best', 'high', 'japan', 'unlimit', 'one', 'friend', 'even', 'take', 'say', 'us', 'place']",unlimited sushi;very high;high quality-;even took;best sushi;
"['love', 'buddi', 'bring', 'ca']",
"['littl', 'insid', 'expect', 'cramp']",little cramped;
"['spectacular', 'price', 'anyth', 'sushi']",anything spectacular;
"['come', 'manag', 'check', 'meal', 'round', 'even', 'buy', 'us', 'drink']",even bought;
"['strang', 'toaster']",n't have;
"['recommend', 'night', 'good', 'food', 'fun']",good food;
"['lack', 'similar', 'choic', 'menu', 'flavor', 'look', 'tast']",
"['lover', 'dosa', 'must']",
"['per', 'order', 'peopl', 'huge', 'three', 'two', 'one', 'rather', 'split', 'person', 'appet', 'good', 'entre', 'portion', 'might', 'thing']",
"['main', 'decidedli', 'appet', 'subpar', 'cours', 'ok']",just ok;main courses;decidedly subpar;
"['els', 'leav', 'also', 'dessert', 'recommend', 'someon']",else recommended;also left;
"['delight', 'present', 'delici', 'beauti', 'combin', 'food', 'exot']",exotic food;beautifully presented;delicious combinations;
"['tabl', 'get', 'staff', 'alway', 'almost', 'attent']",very attentive;almost always;always get;
"['vegetarian', 'go', 'realli', 'good', 'place']",really is;good place;
"['true', 'bud', 'salad', 'tri', 'experi', 'mediterranean', 'tast']",true experience;
"['tho', 'judgement', 'final', 'return', 'sure']",sure i;final judgement;
"['crowd', 'cours', 'care']",
"['list', 'manhattan', 'restaur', 'quaint', 'trattoria', 'top', 'romant']",romantic trattoria;
"['time', 'wonder', 'three', 'alway', 'experi']",always had;wonderful experiences;
"['peopl', 'friendli', 'alway']",always friendly;
"['world', 'chees', 'cream', 'coffe', 'love']",
"['yet', 'creativ', 'prepar', 'everyth', 'simpl', 'drink', 'entre', 'still', 'side']",creatively prepared;yet still;still simple;
['hmmm'],
"['prompt', 'servic', 'courteou']",
"['beef', 'undercook', 'cheap', 'version', 'ordinari']",
"['small', 'decor', 'restaur', 'chanc', 'feel', 'cozi', 'romant', 'great']",small cozy;romantic feel;
"['fresh', 'high', 'nice', 'give', 'score', 'thai', 'authent']",n't give;high scores;authentic thai;
"['everi', 'worht', 'overal', 'penni']",
"['get', 'morn', 'along', 'think', 'guest', 'abl', 'would', 'four', 'call']",n't think;other guests;
"['ice', 'get', 'soda', 'club', 'lime', 'fill']",club soda;
"['actual', 'quit', 'serv', 'beer', 'hous', 'variti', 'good', 'wine']",actually quite;quite good;
"['cost', 'owner', 'build', 'afortun', 'must', 'place']",
"['delight', 'mere', 'restaur', 'think', 'mouth', 'start', 'water']",merely thinking;
['locat'],n't been;other locations;
"['complimentari', 'dessert', 'yummi', 'pud', 'oh', 'enough']",complimentary pudding;just enough-;enough- yummy;
"['gown', 'peopl', 'well', 'dress', 'suit', 'even', 'shirt', 'jean']",evening gowns;as well;
"['tikka', 'wrap', 'split', 'malai', 'samosa', 'veget', 'tasti']",tasty vegetable;vegetable samosa;
"['chef', 'waitress', 'knowledg', 'averag']",below average;
"['place', 'go', 'around', 'drink', 'villag', 'walk']",
"['decent', 'wine', 'select']",decent wine;
"['time', 'friend', 'group', 'go', 'great']",great time;
"['tabl', 'crowd', 'dinnertim', 'noisi', 'wait', 'bar', 'often', 'save', 'walk']",often noisy;crowded bar;
"['say', 'disapoint', 'meal', 'never']",say i;never had;
"['one', 'eat', 'favorit', 'ny', 'place']",favorite places;
"['get', 'crowd', 'pm', 'recommend', 'go', 'place']",i recommend;4-5 pm;
"['raddichio', 'bitter', 'chees', 'mine', 'though', 'goat', 'littl', 'burn', 'panchetta', 'kind', 'still', 'delici']",little burnt;still delicious;was kind;
"['servic', 'disappoint', 'food', 'lousi']",disappointing food;lousy service;
"['sichuan', 'restaur', 'recommend', 'go']",i 'm;
"['amongst', 'restaur', 'stand', 'love', 'smith', 'asian', 'street', 'fusion', 'french', 'great']",lovely french-asian;french-asian fusion;other great;great restaurants;smith street;
"['neighborhood', 'bistro', 'casual', 'want', 'excel', 'place', 'servic', 'food', 'great']",casual neighborhood;great food;excellent service;
"['beer', 'go', 'drink', 'kind', 'place', 'great']",great place;
"['know', 'well', 'machin', 'oil', 'place']",well-oiled machine;
"['small', 'portion', 'price']",small portions;
"['basil', 'pour', 'finish', 'reserv', 'meanwhil', 'turnip', 'champagn', 'enjoy', 'soup', 'grati', 'bartend', 'amus', 'pure', 'continu', 'bottl']",pour champagne;
"['go', 'back']",
"['time', 'reach', 'step', 'light', 'foot', 'adjust', 'second']",second time;adjust lighting;
"['prepar', 'well', 'servic', 'impec', 'food']",well prepared;service impecable;
"['cost', 'spice', 'thh', 'best', 'shrimp', 'dish', 'curri', 'would', 'thai', 'place', 'noodl']",best dish;thh thai;curry noodles;
"['touch', 'dark', 'atmospher', 'nice', 'music', 'good']",dark atmosphere;nice touch;
"['small', 'main', 'husband', 'eat', 'fine', 'would', 'say', 'good', 'cours', 'portion']",very small;main course;
"['indistinguish', 'definit', 'thai', 'bland', 'great']",definitely not;not great;
"['coupl', 'restaur', 'away', 'anoth', 'block', 'sripraphai', 'thai', 'delici']",delicious thai;
"['brunch', 'date', 'nightcap', 'earli', 'group', 'great']",early brunch;
"['authent', 'style', 'new', 'recommend', 'york', 'better', 'place', 'shanghai', 'cannot']",authentic shanghai;not recommend;better shanghai;shanghai place;new york;
"['fromag', 'tabl', 'also', 'pair', 'sommeli', 'chees', 'send', 'suggest', 'make', 'server', 'differ', 'help', 'friendli', 'food', 'wine', 'great']",friendly server;great food;also sent;different pairings;
"['yasuda', 'perhap', 'never', 'attitud', 'live', 'perfect', 'parallel', 'last', 'state', 'treat', 'univers', 'anyth', 'experi', 'review']",last reviewer;parallel universe;never had;had anything;perfect experience;
"['best', 'think', 'ever', 'scalini', 'one', 'say', 'din', 'experi', 'fede']",i thought;best dining;ever had;
"['everyth', 'restaur', 'special']",
"['back', 'could', 'reserv', 'nice', 'perfect', 'garden', 'seclud', 'sit', 'weather', 'great']",n't have;only sit;back garden;nice weather;
